affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
University of Amsterdam and CEPR and Stanford Graduate School of Business,University of Amsterdam and CEPR,Stanford Graduate School of Business,60,100,,
"West Virginia University, Davis College of Agriculture, Forestry, and Consumer Sciences, Division of Resource Management, Students and West Virginia University - Division of Resource Management","West Virginia University, Davis College of Agriculture, Forestry, and Consumer Sciences, Division of Resource Management, Students",West Virginia University - Division of Resource Management,60,100,,
Sumy State University and Sumy State University - Department of Marketing and MIA,Sumy State University,Sumy State University - Department of Marketing and MIA,60,100,,
Wisdom Capital Asset Management and New York University (NYU) - Department of Econometrics and Quantitative Economics,Wisdom Capital Asset Management,New York University (NYU) - Department of Econometrics and Quantitative Economics,60,100,,
Universitat Pompeu Fabra and Barcelona GSE and Organization for Economic Co-Operation and Development (OECD),Universitat Pompeu Fabra and Barcelona GSE,Organization for Economic Co-Operation and Development (OECD),60,100,,
University of Amsterdam and CEPR and Stanford Graduate School of Business,University of Amsterdam and CEPR,Stanford Graduate School of Business,60,100,,
"University of Oregon, School of Journalism and Communication and Senior studying public relations and journalism","University of Oregon, School of Journalism and Communication",Senior studying public relations and journalism,60,100,,
"affiliation not provided to SSRN and Tor Vergata University, Cranfield University - Logistics and Supply Chain Management",affiliation not provided to SSRN,"Tor Vergata University, Cranfield University - Logistics and Supply Chain Management",60,100,,
University of Milan and CLEAN and New York University (NYU) - Department of Politics,University of Milan and CLEAN,New York University (NYU) - Department of Politics,60,100,,
Nanjing University of Aeronautics and Astronautics and Nanjing University of Aeronautics and Astronautics - College of Economics and Management,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics - College of Economics and Management,60,100,,
"Srinivas college of management and commerce  and Department of Research, Commerce and Management, College of Commerce and Management, Srinivas University",Srinivas college of management and commerce,"Department of Research, Commerce and Management, College of Commerce and Management, Srinivas University",61,100,,
"Institute of Management and Commerce and Department of Research, Commerce and Management, College of Commerce and Management, Srinivas University",Institute of Management and Commerce,"Department of Research, Commerce and Management, College of Commerce and Management, Srinivas University",61,100,,
Lingnan University - Department of Finance and Insurance  and Nanjing University of Aeronautics and Astronautics - College of Economics and Management,Lingnan University - Department of Finance and Insurance,Nanjing University of Aeronautics and Astronautics - College of Economics and Management,61,100,,
"Dept. of Communication, U of Mainz, Germany and University of Konstanz - Deptment of Politics and Public Administration","Dept. of Communication, U of Mainz, Germany",University of Konstanz - Deptment of Politics and Public Administration,61,100,,
"Harvard Law School and FXB Center for Health and Human Rights, Harvard University, Boston MA, USA",Harvard Law School,"FXB Center for Health and Human Rights, Harvard University, Boston MA, USA",61,100,,
"VIZJA UNIVERSITY and Faculty of Management and Finance, University of Finance and Management in Warsaw, Poland",VIZJA UNIVERSITY,"Faculty of Management and Finance, University of Finance and Management in Warsaw, Poland",61,100,,
University of Prince Edward Island and Department of Politics and Public Administration - Ryerson University,University of Prince Edward Island,Department of Politics and Public Administration - Ryerson University,61,100,,
Kazakh Academy of Sport and Tourism and Aspire2 International,Kazakh Academy of Sport and Tourism,Aspire2 International,61,100,,
Northwestern University - Department of Political Science and Northwestern University - Judd A. and Marjorie Weinberg College of Arts and Sciences,Northwestern University - Department of Political Science,Northwestern University - Judd A. and Marjorie Weinberg College of Arts and Sciences,61,100,,
Neon Neue Energieökonomik GmbH and Mercator Research Institute on Global Commons and Climate Change,Neon Neue Energieökonomik GmbH,Mercator Research Institute on Global Commons and Climate Change,61,100,,
United Way of Buffalo and Erie County and Buffalo Public Schools,United Way of Buffalo and Erie County,Buffalo Public Schools,61,100,,
"ZEW – Leibniz Centre for European Economic Research and Institute of Medical Microbiology, Immunology and Parasitology, University Hospital Bonn",ZEW – Leibniz Centre for European Economic Research,"Institute of Medical Microbiology, Immunology and Parasitology, University Hospital Bonn",61,100,,
"BI Norwegian Business School, Department of Data Science and Analytics and Norges Bank","BI Norwegian Business School, Department of Data Science and Analytics",Norges Bank,62,,,
"Massey University and Chinese University of Hong Kong, ABFER, CEPR, and ECGI",Massey University,"Chinese University of Hong Kong, ABFER, CEPR, and ECGI",62,,,
"Massey University and Chinese University of Hong Kong, ABFER, CEPR, and ECGI",Massey University,"Chinese University of Hong Kong, ABFER, CEPR, and ECGI",62,,,
"BI Norwegian Business School, Department of Data Science and Analytics and Norges Bank","BI Norwegian Business School, Department of Data Science and Analytics",Norges Bank,62,,,
"BI Norwegian Business School, Department of Data Science and Analytics and Norges Bank","BI Norwegian Business School, Department of Data Science and Analytics",Norges Bank,62,,,
UNU-MERIT and University of Maastricht and UNU-MERIT,UNU-MERIT,University of Maastricht and UNU-MERIT,62,,,
Organization for Environmental Research and Green Innovation and Organisation for Environmental Research and Green Innovation,Organization for Environmental Research and Green Innovation,Organisation for Environmental Research and Green Innovation,62,,,
"SKEMA Business School and National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST), University of Angers - French National Center for Scientific Research (CNRS)",SKEMA Business School and National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics,"Statistics (CREST), University of Angers - French National Center for Scientific Research (CNRS)",62,,,
Centre for Research and Studies in Sociology of ISCTE-IUL and affiliation not provided to SSRN,Centre for Research and Studies in Sociology of ISCTE-IUL,affiliation not provided to SSRN,62,,,
Organization for Environmental Research and Green Innovation and Organization for Environmental Research and Green Innovation,Organization for Environmental Research and Green Innovation,Organization for Environmental Research and Green Innovation,62,,,
EmployStats - Economists and Statisticians and EmployStats,EmployStats - Economists,Statisticians and EmployStats,62,,,
"Massey University and Chinese University of Hong Kong, ABFER, CEPR, and ECGI",Massey University,"Chinese University of Hong Kong, ABFER, CEPR, and ECGI",62,,,
Organization for Environmental Research and Green Innovation and Organisation for Environmental Research and Green Innovation,Organization for Environmental Research and Green Innovation,Organisation for Environmental Research and Green Innovation,62,,,
UNU-MERIT and University of Maastricht and UNU-MERIT,UNU-MERIT,University of Maastricht and UNU-MERIT,62,,,
Beihang University (BUAA) - School of Economics and Management and Xiamen University - Paula and Gregory Chow Institute for Studies in Economics,Beihang University (BUAA) - School of Economics and Management,Xiamen University - Paula and Gregory Chow Institute for Studies in Economics,62,,,
UNU-MERIT and University of Maastricht and UNU-MERIT,UNU-MERIT,University of Maastricht and UNU-MERIT,62,,,
Australian National University (ANU) - Crawford School of Public Policy and Nanjing University of Aeronautics and Astronautics - College of Economics and Management,Australian National University (ANU) - Crawford School of Public Policy,Nanjing University of Aeronautics and Astronautics - College of Economics and Management,62,,,
"Federal University of Minas Gerais (UFMG) - Accounting and Controllership Graduate and Research Center and Federal University of Minas Gerais (UFMG), Centro Universitário UNA",Federal University of Minas Gerais (UFMG) - Accounting and Controllership Graduate and Research Center,"Federal University of Minas Gerais (UFMG), Centro Universitário UNA",62,,,
"Gothenburg University, School of Business, Economics, and Law, University of Texas at Austin - Department of Information, Risk, and Operations Management and Lund University - Department of Economics","Gothenburg University, School of Business, Economics, and Law, University of Texas at Austin - Department of Information, Risk, and Operations Management",Lund University - Department of Economics,62,,,
"University of Oxford - Mathematical Institute and Imperial College London, CFM-Imperial Institute of Quantitative Finance, University College London - Financial Computing and Analytics Group, Department of Computer Science","University of Oxford - Mathematical Institute and Imperial College London, CFM-Imperial Institute of Quantitative Finance, University College London - Financial Computing","Analytics Group, Department of Computer Science",62,,,
"U.S. Department of Health and Human Services - Agency for Healthcare Research and Quality - Center for Delivery, Organization and Markets and George Washington University","U.S. Department of Health and Human Services - Agency for Healthcare Research and Quality - Center for Delivery, Organization and Markets",George Washington University,63,,,
Nanyang Technological University (NTU) - Division of Economics and School of Finance and Laboratory of Experimental Economics,Nanyang Technological University (NTU) - Division of Economics and School of Finance,Laboratory of Experimental Economics,63,,,
"Atkinson Graduate School of Management, Willamette University and Max Planck Society for the Advancement of the Sciences - Center for Humans and Machines","Atkinson Graduate School of Management, Willamette University",Max Planck Society for the Advancement of the Sciences - Center for Humans and Machines,63,,,
"HOD Banking and Finance, University of Kotli Azad Jammu and Kashmir, Pakistan and Supervisor and Dean, Faculty of Computing and Engineering, University of Kotli Azad Jammu and Kashmir, Pakistan","HOD Banking and Finance, University of Kotli Azad Jammu and Kashmir, Pakistan and Supervisor and Dean, Faculty of Computing","Engineering, University of Kotli Azad Jammu and Kashmir, Pakistan",63,,,
"Government of the United States of America, Federal Communications Commission, Media Bureau, Industry Analysis Division and Government of the United States of America, Federal Communications Commission (FCC), International Bureau, Strategic Analysis and Negotiations Division","Government of the United States of America, Federal Communications Commission, Media Bureau, Industry Analysis Division","Government of the United States of America, Federal Communications Commission (FCC), International Bureau, Strategic Analysis and Negotiations Division",63,,,
"Getulio Vargas Foundation, School of Public Policy and Government and Institute of Applied Economic Research - Brazil","Getulio Vargas Foundation, School of Public Policy and Government",Institute of Applied Economic Research - Brazil,63,,,
Michigan State University and Michigan State University - The Eli Broad College of Business and The Eli Broad Graduate School of Management,Michigan State University,Michigan State University - The Eli Broad College of Business and The Eli Broad Graduate School of Management,63,,,
Hebrew University of Jerusalem and Bank of Israel and Hebrew University of Jerusalem - Department of Finance,Hebrew University of Jerusalem,Bank of Israel and Hebrew University of Jerusalem - Department of Finance,63,,,
London School of Economics & Political Science (LSE) - Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD) and affiliation not provided to SSRN,London School of Economics & Political Science (LSE) - Suntory and Toyota International Centres for Economics,Related Disciplines (STICERD) and affiliation not provided to SSRN,63,,,
TIAA Institute and College and University Professional Association for Human Resources.,TIAA Institute and College,University Professional Association for Human Resources.,63,,,
Russian Presidential Academy of National Economy and Puvlic Administration and Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA),Russian Presidential Academy of National Economy and Puvlic Administration,Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA),63,,,
The University of Commerce and Services (WSHIU) and Independent,The University of Commerce and Services (WSHIU),Independent,63,,,
"Department of Electronic Engineering, National Quemoy University and Department of Accountancy and Graduate Institute of Finance, National Cheng Kung University","Department of Electronic Engineering, National Quemoy University","Department of Accountancy and Graduate Institute of Finance, National Cheng Kung University",63,,,
"Université de Toulouse - Toulouse Business School and GREMAQ, IDEI and LEERNA - University of Toulouse 1","Université de Toulouse - Toulouse Business School and GREMAQ, IDEI",LEERNA - University of Toulouse 1,63,,,
"Columbia University - School of International & Public Affairs (SIPA) and Christofferson, Robb and Company",Columbia University - School of International & Public Affairs (SIPA),"Christofferson, Robb and Company",63,,,
"The Australian National University - School of Finance, Actuarial Studies and Applied Statistics, College of Business and Economics and Kyung Hee University","The Australian National University - School of Finance, Actuarial Studies and Applied Statistics, College of Business and Economics",Kyung Hee University,63,,,
Warsaw University - Faculty of Law and Public Administration and Warsaw University - Faculty of Law and Public Administration,Warsaw University - Faculty of Law and Public Administration and Warsaw University - Faculty of Law,Public Administration,63,,,
TIAA Institute and College and University Professional Association for Human Resources.,TIAA Institute and College,University Professional Association for Human Resources.,63,,,
National & Kapodistrian University of Athens and NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS,National & Kapodistrian University of Athens and NATIONAL,KAPODISTRIAN UNIVERSITY OF ATHENS,63,,,
"Associate Professor, Accountancy and Head of Accounts Department, Ramanand Arya D.A.V College ʊutonomous), Mumbai, Maharashtra, India.  and Independent","Associate Professor, Accountancy","Head of Accounts Department, Ramanand Arya D.A.V College ʊutonomous), Mumbai, Maharashtra, India.  and Independent",63,,,
TIAA Institute and College and University Professional Association for Human Resources.,TIAA Institute and College,University Professional Association for Human Resources.,63,,,
University of Southern California - Department of Preventive Medicine and Institute for Global Health and University of Southern California,University of Southern California - Department of Preventive Medicine and Institute for Global Health,University of Southern California,63,,,
KV INSTITUTE OF MANAGEMENT AND INFORMATION STUDIES and KV INSTITUTE OF MANAGEMENT AND INFORMATION STUDIES,KV INSTITUTE OF MANAGEMENT AND INFORMATION STUDIES and KV INSTITUTE OF MANAGEMENT,INFORMATION STUDIES,63,,,
"Keller and Heckman, LLP and Keller and Heckman LLP","Keller and Heckman, LLP",Keller and Heckman LLP,64,,,
"MyCustomAI and Columbia University - Columbia Business School, Decision Risk and Operations",MyCustomAI,"Columbia University - Columbia Business School, Decision Risk and Operations",64,,,
"MyCustomAI and Columbia University - Columbia Business School, Decision Risk and Operations",MyCustomAI,"Columbia University - Columbia Business School, Decision Risk and Operations",64,,,
"IIMT UNIVERSITY and SCHOOL OF COMMERCE AND MANAGEMENT, IIMT University, school of commerce and management",IIMT UNIVERSITY and SCHOOL OF COMMERCE,"MANAGEMENT, IIMT University, school of commerce and management",64,,,
University of Cyprus-School of Economics and Management- Department of Accounting and Finance and University of Cyprus-Faculty of Economics and Management-Department of Accounting and Finance,University of Cyprus-School of Economics and Management- Department of Accounting and Finance and University of Cyprus-Faculty of Economics,Management-Department of Accounting and Finance,64,,,
Korea Internet and Security Agency - Cyber Security Training and Certification Center and Sungkyunkwan University - College of Economics,Korea Internet and Security Agency - Cyber Security Training and Certification Center,Sungkyunkwan University - College of Economics,64,,,
"University of Rouen and National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics and Statistics (CREST), Ecole Normale Superieure de Cachan (ENS)",University of Rouen and National Institute of Statistics and Economic Studies (INSEE) - Center for Research in Economics,"Statistics (CREST), Ecole Normale Superieure de Cachan (ENS)",64,,,
"Quantpedia and Comenius University - Faculty of Mathematics, Physics and Informatics",Quantpedia,"Comenius University - Faculty of Mathematics, Physics and Informatics",64,,,
"PT. Dipostar Finance and Accounting Department, Faculty of Economics and Communication, Bina Nusantara University",PT. Dipostar Finance,"Accounting Department, Faculty of Economics and Communication, Bina Nusantara University",64,,,
European Central Bank (ECB) and International Monetary Fund (IMF) - Monetary and Exchange Affairs Department,European Central Bank (ECB),International Monetary Fund (IMF) - Monetary and Exchange Affairs Department,64,,,
Rajamangala University of Technology - Division of Mechatronics and Robotics Engineering and Rajamangala University of Technology - Combustion and Solar Energy Laboratory (CASE Lab),Rajamangala University of Technology - Division of Mechatronics and Robotics Engineering,Rajamangala University of Technology - Combustion and Solar Energy Laboratory (CASE Lab),64,,,
"Quantpedia and Comenius University - Faculty of Mathematics, Physics and Informatics",Quantpedia,"Comenius University - Faculty of Mathematics, Physics and Informatics",64,,,
University of Cyprus-School of Economics and Management- Department of Accounting and Finance and University of Cyprus-Faculty of Economics and Management-Department of Accounting and Finance,University of Cyprus-School of Economics and Management- Department of Accounting and Finance and University of Cyprus-Faculty of Economics,Management-Department of Accounting and Finance,64,,,
University of Neuchatel and University of Toronto - Rotman School of Management and UTSC Management,University of Neuchatel,University of Toronto - Rotman School of Management and UTSC Management,64,,,
Shanghai University of Finance and Economics - School of Statistics and Management and Shanghai University of Finance and Economics - School of Statistics and Management,Shanghai University of Finance and Economics - School of Statistics and Management,Shanghai University of Finance and Economics - School of Statistics and Management,64,,,
"University of Dhaka - Department of Development Studies and BRAC Institute of Governance and Development ʋIGD), Brac University",University of Dhaka - Department of Development Studies,"BRAC Institute of Governance and Development ʋIGD), Brac University",64,,,
Chongqing University - School of Economy and Business Administration and Chongqing University - School of Economics and Business Administration,Chongqing University - School of Economy and Business Administration,Chongqing University - School of Economics and Business Administration,64,,,
"University of Oxford, OSGA and St Antony's College and National Research University Higher School of Economics (Moscow)","University of Oxford, OSGA and St Antony's College",National Research University Higher School of Economics (Moscow),64,,,
"Ballari Institute of Technology and Management, Department of Management Studies and Ballari Institute of Technology and Management - Department of Management Studies","Ballari Institute of Technology and Management, Department of Management Studies",Ballari Institute of Technology and Management - Department of Management Studies,64,,,
"College of Politics and Government, Suan Sunandha Rajabhat University, Thailand and College of Politics and Government, Suan Sunandha Rajabhat University, Thailand","College of Politics and Government, Suan Sunandha Rajabhat University, Thailand and College of Politics","Government, Suan Sunandha Rajabhat University, Thailand",64,,,
International Monetary Fund (IMF) - Middle East and Central Asia Department and International Monetary Fund (IMF),International Monetary Fund (IMF) - Middle East and Central Asia Department,International Monetary Fund (IMF),64,,,
Federal Government - Employment and Social Development Canada (ESDC) and Carleton University - School of Public Policy and Administration,Federal Government - Employment and Social Development Canada (ESDC),Carleton University - School of Public Policy and Administration,64,,,
affiliation not provided to SSRN and Goldman Sloan Nash and Haber LLP,affiliation not provided to SSRN,Goldman Sloan Nash and Haber LLP,64,,,
"Di3A, IRPAIS - Institute of Research and Promotion of Inland Areas of Sicily and University of Pisa - Agricultural Science, Food and Agri-Environmental Department","Di3A, IRPAIS - Institute of Research and Promotion of Inland Areas of Sicily","University of Pisa - Agricultural Science, Food and Agri-Environmental Department",64,,,
"II Year MBA, Faulty of Management and Commerce, Ramaiah University of Applied Sciences, Bengaluru, India and Assistant Professor and Head, Department of Commerce, Faulty of Management and Commerce, Ramaiah University of Applied Sciences, Bengaluru, India","II Year MBA, Faulty of Management and Commerce, Ramaiah University of Applied Sciences, Bengaluru, India and Assistant Professor","Head, Department of Commerce, Faulty of Management and Commerce, Ramaiah University of Applied Sciences, Bengaluru, India",64,,,
"Quantpedia and Comenius University - Faculty of Mathematics, Physics and Informatics",Quantpedia,"Comenius University - Faculty of Mathematics, Physics and Informatics",64,,,
Shanghai University of Finance and Economics - School of Statistics and Management and Shanghai University of Finance and Economics - School of Statistics and Management,Shanghai University of Finance and Economics - School of Statistics and Management,Shanghai University of Finance and Economics - School of Statistics and Management,64,,,
ILS Law College  and Software Developer and Legend of IT,ILS Law College  and Software Developer,Legend of IT,64,,,
"Quantpedia and Comenius University - Faculty of Mathematics, Physics and Informatics",Quantpedia,"Comenius University - Faculty of Mathematics, Physics and Informatics",64,,,
"CRETC Competition & Regulation Economics Testimony and Consulting LLC and Ankura Consulting Group (Washington, DC -  200 19th St)",CRETC Competition & Regulation Economics Testimony,"Consulting LLC and Ankura Consulting Group (Washington, DC -  200 19th St)",64,,,
"Ballari Institute of Technology and Management, Department of Management Studies and Ballari Institute of Technology and Management - Department of Management Studies","Ballari Institute of Technology and Management, Department of Management Studies",Ballari Institute of Technology and Management - Department of Management Studies,64,,,
Tripoli University - Economics and Political Faculty  and Economics Faculty، sirte University Sirte University,Tripoli University - Economics and Political Faculty,Economics Faculty، sirte University Sirte University,65,,,
"Università degli Studi di Milano-Bicocca - Department of Psychology and Faculty of Natural Sciences and Mathematics, University of Maribor",Università degli Studi di Milano-Bicocca - Department of Psychology,"Faculty of Natural Sciences and Mathematics, University of Maribor",65,,,
"RWTH Aachen University - E.ON Energy Research Center, German Economic Institute and Lehrstuhl für Wirtschaftswissenschaften, insb. Energieökonomik Institute for Future Energy Consumer Needs and Behavior (FCN) E.ON Energy Research Center RWTH Aachen","RWTH Aachen University - E.ON Energy Research Center, German Economic Institute and Lehrstuhl für Wirtschaftswissenschaften, insb. Energieökonomik Institute for Future Energy Consumer Needs",Behavior (FCN) E.ON Energy Research Center RWTH Aachen,65,,,
Amity University and Anand and Anand,Amity University,Anand and Anand,65,,,
"Dr. A.P.J. Abdul Kalam Technical University, Students and Professor, Director, School of Architecture and Planning, Amity University, Lucknow","Dr. A.P.J. Abdul Kalam Technical University, Students and Professor, Director, School of Architecture","Planning, Amity University, Lucknow",65,,,
Government of Indonesia - Finance Education and Training Agency and Government of Indonesia - Finance Education and Training Agency,Government of Indonesia - Finance Education and Training Agency,Government of Indonesia - Finance Education and Training Agency,65,,,
"University of Ghana and University of Ghana Inst. of Statistical, Social and Economic Research, University of Ghana - Adminstration",University of Ghana,"University of Ghana Inst. of Statistical, Social and Economic Research, University of Ghana - Adminstration",65,,,
University of Minho - School of Economics and Management and University of Minho - NIPE and School of Economics and Management,University of Minho - School of Economics and Management and University of Minho - NIPE,School of Economics and Management,65,,,
"University of Luxembourg - Interdisciplinary Centre for Security, Reliability and Trust (SnT) and University of Toronto - Department of Electrical and Computer Engineering, and Department of Computer Science","University of Luxembourg - Interdisciplinary Centre for Security, Reliability and Trust (SnT)","University of Toronto - Department of Electrical and Computer Engineering, and Department of Computer Science",65,,,
University of Malta - Department of Banking and Finance - FEMA and University of Malta - Banking and Finance Dept. - FEMA,University of Malta - Department of Banking and Finance - FEMA,University of Malta - Banking and Finance Dept. - FEMA,65,,,
"Tsinghua University - School of Economics & Management and Central University of Finance and Economics University, School of Public Finance and Taxation",Tsinghua University - School of Economics & Management and Central University of Finance,"Economics University, School of Public Finance and Taxation",65,,,
"University of Porto, School of Economics and Management and University of Minho - NIPE and School of Economics and Management","University of Porto, School of Economics and Management and University of Minho - NIPE",School of Economics and Management,65,,,
Adejugbe and Co Law Firm and Adejugbe and Co Law Firm,Adejugbe and Co Law Firm and Adejugbe,Co Law Firm,65,,,
City University of Hong Kong - Department of Economics and Finance and Zhongnan University of Economics and Law - School of Finance,City University of Hong Kong - Department of Economics and Finance,Zhongnan University of Economics and Law - School of Finance,65,,,
Adejugbe and Co Law Firm and Adejugbe and Co Law Firm,Adejugbe and Co Law Firm and Adejugbe,Co Law Firm,65,,,
University of Malta - Department of Banking and Finance - FEMA and University of Malta - Banking and Finance Dept. - FEMA,University of Malta - Department of Banking and Finance - FEMA,University of Malta - Banking and Finance Dept. - FEMA,65,,,
World Bank and Brookings Institution - Center on Social and Economic Dynamics,World Bank,Brookings Institution - Center on Social and Economic Dynamics,65,,,
"Ankura Consulting Group (Washington, DC -  200 19th St) and CRETC Competition & Regulation Economics Testimony and Consulting LLC","Ankura Consulting Group (Washington, DC -  200 19th St) and CRETC Competition & Regulation Economics Testimony",Consulting LLC,65,,,
"Faculty of Economics and Management, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia and Department of Management and Marketing, School of Business and Economics and Management, Universiti Putra Malaysia.43400UPM. Serdang, Selangor, Malaysia","Faculty of Economics and Management, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia","Department of Management and Marketing, School of Business and Economics and Management, Universiti Putra Malaysia.43400UPM. Serdang, Selangor, Malaysia",65,,,
"Department of Resource Economics and Environmental Sociology, University of Alberta and School of Environment, Resources and Sustainability, University of Waterloo","Department of Resource Economics and Environmental Sociology, University of Alberta","School of Environment, Resources and Sustainability, University of Waterloo",65,,,
"University of California, Davis - Departments of Economics and Agricultural Resource Economics and Vanderbilt University - College of Arts and Science - Department of Economics","University of California, Davis - Departments of Economics and Agricultural Resource Economics",Vanderbilt University - College of Arts and Science - Department of Economics,65,,,
Carleton University - School of Journalism and Communication Studies and Independent,Carleton University - School of Journalism,Communication Studies and Independent,66,,,
"Nova School of Business and Economics, ISCAL - Lisbon Accounting and Business School and I. D. Consulting Limited","Nova School of Business and Economics, ISCAL - Lisbon Accounting",Business School and I. D. Consulting Limited,66,,,
"Tel Aviv University and The Department of Management and Economics, The Open University of Israel",Tel Aviv University,"The Department of Management and Economics, The Open University of Israel",66,100,,
"Tel Aviv University and The Department of Management and Economics, The Open University of Israel",Tel Aviv University,"The Department of Management and Economics, The Open University of Israel",66,100,,
City University of Hong Kong (CityU) - Centre for Chinese & Comparative Law and City University of Hong Kong (CityU) – School of Law Centre for Public Affairs and Law Centre for Chinese and Comparative Law,City University of Hong Kong (CityU) - Centre for Chinese & Comparative Law and City University of Hong Kong (CityU) – School of Law Centre for Public Affairs,Law Centre for Chinese and Comparative Law,66,,,
"University of Copenhagen, Department of Political Science and University of Copenhagen - Department of Political Science and Department of Economics","University of Copenhagen, Department of Political Science and University of Copenhagen - Department of Political Science",Department of Economics,66,,,
"Columbia Business School - Decisions, Risk, and Operations Division and University of Southern California - Marshall School of Business","Columbia Business School - Decisions, Risk, and Operations Division",University of Southern California - Marshall School of Business,66,,,
"Research Scholar, Doon University and Operational and Supply Chain Management area, SOM Doon University, Dehradun, India","Research Scholar, Doon University and Operational","Supply Chain Management area, SOM Doon University, Dehradun, India",66,,,
University of Sheffield - Department of Economics and CESifo (Center for Economic Studies and Ifo Institute for Economic Research),University of Sheffield - Department of Economics and CESifo (Center for Economic Studies,Ifo Institute for Economic Research),66,,,
"Department of Economics, Entrepreneurship and Marketing, Institute of Finance, Economy and Management, National University ""Yuri Kondratyuk Poltava Polytechnic"", Poltava, Ukraine and Department of Finance, Banking and Taxation, Institute of Finance, Economy and Management, National University ""Yuri Kondratyuk Poltava Polytechnic"", Poltava, Ukraine","Department of Economics, Entrepreneurship and Marketing, Institute of Finance, Economy and Management, National University ""Yuri Kondratyuk Poltava Polytechnic"", Poltava, Ukraine","Department of Finance, Banking and Taxation, Institute of Finance, Economy and Management, National University ""Yuri Kondratyuk Poltava Polytechnic"", Poltava, Ukraine",66,,,
"Department of Political Science and Law School, Duke University (deceased) and Lewis & Clark College","Department of Political Science and Law School, Duke University (deceased)",Lewis & Clark College,66,,,
Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration,Lobachevsky State University of Nizhny Novgorod - Department of Management and Public Administration and Lobachevsky State University of Nizhny Novgorod - Department of Management,Public Administration,66,,,
