raw_name;cleaned_name
London School of Economics & Political Science (LSE);londonschoolofeconomicspoliticalsciencelse
HEC Paris - Accounting and Management Control Department;hecparisaccountingmanagementcontroldepartment
York University - Department of Accounting;yorkuniversitydepartmentofaccounting
Deutsche Bundesbank - Research Centre;deutschebundesbankresearchcentre
Yokohama City University;yokohamacityuniversity
Atmajaya Makassar University;atmajayamakassaruniversity
University of Notre Dame;universityofnotredame
Mount Carmel College, Autonomous;mountcarmelcollegeautonomous
University of Turin;universityofturin
ISTAR-IUL, University Institute of Lisbon;istariuluniversityinstituteoflisbon
Seton Hall University - Economics;setonhalluniversityeconomics
Jahangirnagar University;jahangirnagaruniversity
California State University, Fullerton;californiastateuniversityfullerton
University of Cambridge - Judge Business School;universityofcambridgejudgebusinessschool
Tilburg University - Tilburg University School of Economics and Management;tilburguniversitytilburguniversityschoolofeconomicsmanagement
USC Marshall School of Business;uscmarshallschoolofbusiness
Ludwig-Maximilians-Universitaet (LMU) Munich;ludwigmaximiliansuniversitaetlmumunich
Aalto University - Department of Accounting and Finance;aaltouniversitydepartmentofaccountingfinance
School of Business and Management, Christ University;schoolofbusinessmanagementchristuniversity
Singapore Management University - School of Accountancy;singaporemanagementuniversityschoolofaccountancy
University of Hawaii;universityofhawaii
University of Warmia and Mazury in Olsztyn (UWM);universityofwarmiamazuryinolsztynuwm
Université Paris XIII Nord - University of Paris 13 Nord, Faculty of Economic Sciences, Centre d'Economie de Paris Nord (UMR 7115), Students;universitparisxiiinorduniversityofparis13nordfacultyofeconomicsciencescentredeconomiedeparisnordumr7115students
Faculty of Economics and Business, Atma Jaya Makassar University;facultyofeconomicsbusinessatmajayamakassaruniversity
Islamic Azad University (IAU), Faculty of Management and Accounting, Rasht Branch;islamicazaduniversityiaufacultyofmanagementaccountingrashtbranch
Indian Institute of Management Ahmedabad;indianinstituteofmanagementahmedabad
ISEG, Universidade de Lisboa;iseguniversidadedelisboa
Kyiv National University of Trade and Economics - Vinnytsia Institute of Trade and Economics;kyivnationaluniversityoftradeeconomicsvinnytsiainstituteoftradeeconomics
middle East university;middleeastuniversity
Damanhour University;damanhouruniversity
Vinnytsia Institute of Trade and Economics of State University of Trade and Economics, Vinnytsia, Ukraine.;vinnytsiainstituteoftradeeconomicsofstateuniversityoftradeeconomicsvinnytsiaukraine
Columbia University - Columbia Business School, Finance;columbiauniversitycolumbiabusinessschoolfinance
National University of Colombia;nationaluniversityofcolombia
Federal Reserve Bank of St. Louis - Research Division;federalreservebankofstlouisresearchdivision
Kyambogo University;kyambogouniversity
Warsaw School of Economics (SGH);warsawschoolofeconomicssgh
Financial University under the Government Russian Federation;financialuniversityunderthegovernmentrussianfederation
King Saud University;kingsauduniversity
University of Texas at Dallas - Naveen Jindal School of Management;universityoftexasatdallasnaveenjindalschoolofmanagement
Istanbul Medeniyet University;istanbulmedeniyetuniversity
Boston University, School of Law;bostonuniversityschooloflaw
Arkansas State University;arkansasstateuniversity
University of Economics - Varna;universityofeconomicsvarna
University of Illinois at Urbana-Champaign;universityofillinoisaturbanachampaign
C.D. Howe Institute;cdhoweinstitute
Columbia University - Columbia Business School;columbiauniversitycolumbiabusinessschool
Kamchatka State Technical University;kamchatkastatetechnicaluniversity
Loyola College, Chennai;loyolacollegechennai
Ton Duc Thang University;tonducthanguniversity
State University of Jakarta - State University of Jakarta, Faculty of Economics, Students;stateuniversityofjakartastateuniversityofjakartafacultyofeconomicsstudents
The Libyan Academy for Postgraduate Studies;thelibyanacademyforpostgraduatestudies
Tallinn University of Technology (TUT) - Faculty of Economics;tallinnuniversityoftechnologytutfacultyofeconomics
University of Sydney Business School;universityofsydneybusinessschool
Kean University - School of Accounting and Finance;keanuniversityschoolofaccountingfinance
University of Paris-Saclay;universityofparissaclay
Barry University;barryuniversity
York University - Atkinson School of Administrative Studies;yorkuniversityatkinsonschoolofadministrativestudies
Temple University - Department of Accounting;templeuniversitydepartmentofaccounting
Stanford Graduate School of Business;stanfordgraduateschoolofbusiness
Shiv Nadar University;shivnadaruniversity
University of Houston - Department of Economics;universityofhoustondepartmentofeconomics
Lagos State Polytechnic - Department of Accountancy;lagosstatepolytechnicdepartmentofaccountancy
Australian National University (ANU);australiannationaluniversityanu
Knowledge University - Department of Accounting;knowledgeuniversitydepartmentofaccounting
Ludwig Maximilian University of Munich (LMU);ludwigmaximilianuniversityofmunichlmu
Alexandria University;alexandriauniversity
CEMI-Robert de Sorbon / Lycée Germaine Tillon;cemirobertdesorbonlycegermainetillon
University of Oxford - Nuffield Department of Medicine;universityofoxfordnuffielddepartmentofmedicine
Bangladesh University of Professionals;bangladeshuniversityofprofessionals
NHH Norwegian School of Economics - Department of Business and Management Science;nhhnorwegianschoolofeconomicsdepartmentofbusinessmanagementscience
Ferdowsi University of Mashhad;ferdowsiuniversityofmashhad
Ghent University;ghentuniversity
University of Southern California - Marshall School of Business;universityofsoutherncaliforniamarshallschoolofbusiness
Hasanuddin University;hasanuddinuniversity
Asian Institute of Technology (AIT) - School of Management;asianinstituteoftechnologyaitschoolofmanagement
Stanford University - Meta-Research Innovation Center at Stanford (METRICS);stanforduniversitymetaresearchinnovationcenteratstanfordmetrics
Brandeis University - International Business School;brandeisuniversityinternationalbusinessschool
The National Unified Corporation for Higher Education;thenationalunifiedcorporationforhighereducation
Nnamdi Azikiwe University - Department of Accountancy;nnamdiazikiweuniversitydepartmentofaccountancy
Boston College - Department of Finance;bostoncollegedepartmentoffinance
Washington University in St. Louis - John M. Olin Business School;washingtonuniversityinstlouisjohnmolinbusinessschool
University San Raffaele Roma;universitysanraffaeleroma
Hungarian University of Agriculture and Life Sciences;hungarianuniversityofagriculturelifesciences
Universitas Tanjungpura;universitastanjungpura
Rhema Univeristy, Nigeria.;rhemauniveristynigeria
UNIVERSITY OF ARUSHA;universityofarusha
Texas A&M International University;texasaminternationaluniversity
Emory University - Department of Accounting;emoryuniversitydepartmentofaccounting
Borsa Istanbul;borsaistanbul
