raw_name;cleaned_name;ror_name;ror_link;country;ror_status
University of Colorado Law School;universityofcoloradolawschool;University of Colorado Health;https://ror.org/0107w4315;United States;matched
Chandigarh University;chandigarhuniversity;Chandigarh University;https://ror.org/05t4pvx35;India;matched
Pontificia Universidad Catolica de Chile;pontificiauniversidadcatolicadechile;Pontificia Universidad Catlica de Chile;https://ror.org/04teye511;Chile;matched
Faculty of Land and Food Systems, University of British Columbia;facultyoflandfoodsystemsuniversityofbritishcolumbia;University of British Columbia;https://ror.org/03rmrcq20;Canada;matched
ICAR-Central Institute for Women in Agriculture;icarcentralinstituteforwomeninagriculture;Central Institute for Women in Agriculture;https://ror.org/02hbskw66;India;matched
University of Florida - Food & Resource Economics Department;universityoffloridafoodresourceeconomicsdepartment;University of Florida;https://ror.org/02y3ad647;United States;matched
Laboratory of Innovation, Growth and Sustainability of the Andean Macro Region;laboratoryofinnovationgrowthsustainabilityoftheandeanmacroregion;Usti Region;https://ror.org/036k0fg31;Czechia;matched
Bates College;batescollege;Bates College;https://ror.org/003yn7c76;United States;matched
MGIMO (Moscow State University of International Relations);mgimomoscowstateuniversityofinternationalrelations;University of International Relations;https://ror.org/04r72en83;China;matched
Universidad de Alcal;universidaddealcal;Universidad de Alcal;https://ror.org/04pmn0e78;Spain;matched
University of Johanneburg;universityofjohanneburg;University of Qom;https://ror.org/03ddeer04;Iran;matched
Keiser University;keiseruniversity;Keiser University;https://ror.org/01s383j21;United States;matched
MIT World Peace University;mitworldpeaceuniversity;MIT World Peace University;https://ror.org/004ymxd45;India;matched
ICAR- National Institute of Biotic Stress Management;icarnationalinstituteofbioticstressmanagement;National Institute of Abiotic Stress Management;https://ror.org/05h9t7c44;India;matched
Bank of Sierra Leone;bankofsierraleone;World Health Organization - Sierra Leone;https://ror.org/01xn54007;Sierra Leone;matched
SPI CEPN Centre d_onomie Paris Nord;spicepncentredonomieparisnord;IAE Paris - Sorbonne Business School;https://ror.org/01v053v88;France;matched
Colorado State University, Fort Collins - Department of Economics;coloradostateuniversityfortcollinsdepartmentofeconomics;Colorado State University;https://ror.org/03k1gpj17;United States;matched
Jawaharlal Nehru University;jawaharlalnehruuniversity;Jawaharlal Nehru University;https://ror.org/0567v8t28;India;matched
Institute of Agricultural Economics;instituteofagriculturaleconomics;Institute of Agricultural Economics;https://ror.org/00xh3h995;Bulgaria;matched
Central Bicol State University of Agriculture;centralbicolstateuniversityofagriculture;Central Bicol State University of Agriculture;https://ror.org/01jdxxe39;Philippines;matched
Agroscope Research Center;agroscoperesearchcenter;Pew Research Center;https://ror.org/02tvvdy44;United States;matched
Ashurst Australia;ashurstaustralia;IP Australia;https://ror.org/014vqg108;Australia;matched
Financial Research Institute of the Ministry of Finance of the Russian Federation;financialresearchinstituteoftheministryoffinanceoftherussianfederation;Financial Research Institute of the Ministry of Finance of the Russian Federation;https://ror.org/00kfpzv56;Russia;matched
Tufts University - The Fletcher School of Law and Diplomacy;tuftsuniversitythefletcherschooloflawdiplomacy;Tufts University;https://ror.org/05wvpxv85;United States;matched
Colgate University;colgateuniversity;Colgate University;https://ror.org/05d23ve83;United States;matched
Egerton University - Department of Agricultural Engineering;egertonuniversitydepartmentofagriculturalengineering;Department of Agriculture;https://ror.org/001ke5c68;Belize;matched
HEC Paris;hecparis;HEC Paris;https://ror.org/0423jsj19;France;matched
Economic Research Center (ERC);economicresearchcentererc;Economic Research Centre;https://ror.org/05jsp9k64;Azerbaijan;matched
The University of Hong Kong;theuniversityofhongkong;University of Hong Kong;https://ror.org/02zhqgq86;Hong Kong;matched
University of Nairobi - Department of Computing and Informatics;universityofnairobidepartmentofcomputinginformatics;University of Nairobi;https://ror.org/02y9nww90;Kenya;matched
Bangladesh Bank;bangladeshbank;Bangladesh Bank;https://ror.org/022xz9e77;Bangladesh;matched
United Nations - Conference on Trade and Development (UNCTAD);unitednationsconferenceontradedevelopmentunctad;Southern African Catholic Bishops Conference;https://ror.org/05k9pq902;South Africa;matched
Islamic Azad University, Firoozkooh Branch;islamicazaduniversityfiroozkoohbranch;Islamic Azad University, Firoozkooh Branch;https://ror.org/025eayv75;Iran;matched
Tilburg Law and Economics Center (TILEC);tilburglaweconomicscentertilec;Austrian Economics Center;https://ror.org/04jaxp997;Austria;matched
Korea Institute for International Economic Policy;koreainstituteforinternationaleconomicpolicy;Korea Institute for International Economic Policy;https://ror.org/04vtz2g46;South Korea;matched
BAIF Development Research Foundation;baifdevelopmentresearchfoundation;BAIF Development Research Foundation;https://ror.org/05ymegm05;India;matched
Paris-Saclay Applied Economics;parissaclayappliedeconomics;Paris-Saclay Applied Economics;https://ror.org/01p9mtd45;France;matched
Doctoral membership from Financial management Association,Doctoral membership from united kingdom Association of professional,PhD scholar of science publications journal,Google scholar,;doctoralmembershipfromfinancialmanagementassociationdoctoralmembershipfromunitedkingdomassociationofprofessionalphdscholarofsciencepublicationsjournalgooglescholar;Financial Management Association International;https://ror.org/0453axf13;United States;matched
_____;;;;;no_match
Wroclaw University of Economics and Business;wroclawuniversityofeconomicsbusiness;Wroclaw University of Economics and Business;https://ror.org/013sm1c65;Poland;matched
Societ Italiana di Economia Demografia e Statistica (SIEDS);societitalianadieconomiademografiaestatisticasieds;Societ Italiana di Fisica;https://ror.org/03bbgsb46;Italy;matched
National Research Institute (PIB) - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI);nationalresearchinstitutepibinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri;Institute of Agricultural and Food Economics;https://ror.org/00wrp4434;Poland;matched
CHRIST (Deemed to be University);christdeemedtobeuniversity;Christ University;https://ror.org/022tv9y30;India;matched
Tribhuwana Tunggadewi University;tribhuwanatunggadewiuniversity;Air University;https://ror.org/03yfe9v83;Pakistan;matched
Indian Institute of Foreign Trade - Centre for WTO Studies;indianinstituteofforeigntradecentreforwtostudies;Indian Institute of Foreign Trade;https://ror.org/00efgh409;India;matched
Geographical Institute 'Jovan Cviji_' SASA;geographicalinstitutejovancvijisasa;Geographical Institute;https://ror.org/02j8vpa07;Hungary;matched
Azerbaijan State Agricultural University;azerbaijanstateagriculturaluniversity;Azerbaijan State Agricultural University;https://ror.org/01w7zp604;Azerbaijan;matched
Late. Mansaramji Padole Arts College Ganeshapur Bhandara;latemansaramjipadoleartscollegeganeshapurbhandara;Arts, Commerce and Science College, Dharangaon;https://ror.org/0549nje26;India;matched
Shri Jairambhai Patel Institute of Business Management and Computer Applications;shrijairambhaipatelinstituteofbusinessmanagementcomputerapplications;Institute of Business Management;https://ror.org/048w4c951;Pakistan;matched
University of CEMA;universityofcema;Universidad del Centro de Estudios Macroeconmicos de Argentina;https://ror.org/017p13n71;Argentina;matched
Massachusetts Institute of Technology (MIT);massachusettsinstituteoftechnologymit;Massachusetts Institute of Technology;https://ror.org/042nb2s44;United States;matched
Keith Boyfield Associates;keithboyfieldassociates;EDJ Associates;https://ror.org/00pbjy126;United States;matched
Rathinam College of Arts & Science, Coimbatore, Tamil Nadu, India.;rathinamcollegeofartssciencecoimbatoretamilnaduindia;Rathinam College of Arts & Science;https://ror.org/04qt95144;India;matched
Rathinam College of Arts and Science, Coimbatore, Tamilnadu, India;rathinamcollegeofartssciencecoimbatoretamilnaduindia;Rathinam College of Arts & Science;https://ror.org/04qt95144;India;matched
Top Tax;toptax;;;;no_match
Cambodia Development Resource Institute (CDRI);cambodiadevelopmentresourceinstitutecdri;Cambodia Development Resource Institute;https://ror.org/0486ne794;Cambodia;matched
Lyce George Sand, EPL du Velay;lycegeorgesandeplduvelay;The George Institute for Global Health;https://ror.org/04h0zjx60;United Kingdom;matched
Independent Researcher;independentresearcher;Independent Age;https://ror.org/04ckn3152;United Kingdom;matched
Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon-425001, India;kavayitribahinabaichaudharinorthmaharashtrauniversityjalgaon425001india;Kavayitri Bahinabai Chaudhari North Maharashtra University;https://ror.org/04g7tnd56;India;matched
Institute of Economic Affairs (IEA);instituteofeconomicaffairsiea;Institute of Economic Affairs;https://ror.org/03hz7e558;Kenya;matched
Free University of Bozen-Bolzano;freeuniversityofbozenbolzano;Free University of Bozen-Bolzano;https://ror.org/012ajp527;Italy;matched
Aadhavan College of Arts & Science - Department of Commerce;aadhavancollegeofartssciencedepartmentofcommerce;Department of Commerce;https://ror.org/03dmtvy82;Australia;matched
Universit Paris I Panthon-Sorbonne - Centre d'Economie de la Sorbonne (CES);universitparisipanthonsorbonnecentredeconomiedelasorbonneces;Centre d'conomie de la Sorbonne;https://ror.org/006shqv80;France;matched
Vietnam Aviation Academy;vietnamaviationacademy;Vietnam Aviation Academy;https://ror.org/05da5vm76;Vietnam;matched
National Research Institute - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI);nationalresearchinstituteinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri;Institute of Agricultural and Food Economics;https://ror.org/00wrp4434;Poland;matched
Pope John Paul II State School of Higher Vocational Education;popejohnpauliistateschoolofhighervocationaleducation;Jan Amos Kome_ski State School of Higher Vocational Education;https://ror.org/02vnvpc56;Poland;matched
University of Gttingen;universityofgttingen;University of Gttingen;https://ror.org/01y9bpm73;Germany;matched
Universitas Djuanda;universitasdjuanda;Universitas Djuanda;https://ror.org/01j5wgc53;Indonesia;matched
Department of Sustainability Studies;departmentofsustainabilitystudies;Department of Space;https://ror.org/000kjq947;India;matched
Consultant;consultant;;;;no_match
State Enterprise - M. P. Shulgin State Road Research Institute State Enterprise;stateenterprisempshulginstateroadresearchinstitutestateenterprise;Bova (Taiwan);https://ror.org/01e15cb45;Taiwan;matched
Hanken School of Economics;hankenschoolofeconomics;Hanken School of Economics;https://ror.org/026086s92;Finland;matched
Thiruvalluvar University;thiruvalluvaruniversity;Thiruvalluvar University;https://ror.org/0255nn983;India;matched
United Nations - Food and Agriculture Organization (FAO);unitednationsfoodagricultureorganizationfao;United Nations;https://ror.org/006kxhp52;United States;matched
IoBM;iobm;;;;no_match
Vihara Foundation;viharafoundation;RadioIsotope Therapy of America Foundation;https://ror.org/058ze9c42;United States;matched
BPS Mahila Vishwavidyalaya;bpsmahilavishwavidyalaya;Bhagat Phool Singh Mahila Vishwavidyalaya;https://ror.org/02gmjfa08;India;matched
Romanian Academy;romanianacademy;Romanian Academy;https://ror.org/0561n6946;Romania;matched
Institute of Rural and Agricultural Development, Polish Academy of Sciences;instituteofruralagriculturaldevelopmentpolishacademyofsciences;Polish Academy of Sciences;https://ror.org/01dr6c206;Poland;matched
Institute of Agricultural Economics, Romanian Academy;instituteofagriculturaleconomicsromanianacademy;Romanian Academy;https://ror.org/0561n6946;Romania;matched
University of _d_, Department Regional and Human Geography;universityofddepartmentregionalhumangeography;University of _d_;https://ror.org/05cq64r17;Poland;matched
North-Eastern Hill University (NEHU) - Department of Economics;northeasternhilluniversitynehudepartmentofeconomics;North Eastern Hill University;https://ror.org/055m2tx54;India;matched
University of Zimbabwe;universityofzimbabwe;University of Zimbabwe;https://ror.org/04ze6rb18;Zimbabwe;matched
Odessa National Academy Of Food Technologies;odessanationalacademyoffoodtechnologies;Odesa National University of Technology;https://ror.org/05g6n4k07;Ukraine;matched
Universitt Osnabrck, Institut fr Finanz- und Steuerrecht, Moldova State University, Department Finance and Banks;universittosnabrckinstitutfrfinanzundsteuerrechtmoldovastateuniversitydepartmentfinancebanks;Moldova State University;https://ror.org/0475kvb92;Moldova;matched
Poznan University of Life Sciences, Poland;poznanuniversityoflifesciencespoland;Estonian University of Life Sciences;https://ror.org/00s67c790;Estonia;matched
Rzeszow University of Technology;rzeszowuniversityoftechnology;Rzeszw University of Technology;https://ror.org/056xse072;Poland;matched
Institute of Geography and Spatial Organization Polish Academy of Sciences;instituteofgeographyspatialorganizationpolishacademyofsciences;Polish Academy of Sciences;https://ror.org/01dr6c206;Poland;matched
Institute of Rural and Agricultural Development Polish Academy of Sciences;instituteofruralagriculturaldevelopmentpolishacademyofsciences;Polish Academy of Sciences;https://ror.org/01dr6c206;Poland;matched
Bangladesh Army International University of Science and Technology (BAIUST) - Department of Business Administration, Bangladesh Army International University of Science and Technology;bangladesharmyinternationaluniversityofsciencetechnologybaiustdepartmentofbusinessadministrationbangladesharmyinternationaluniversityofsciencetechnology;Bangladesh Army International University of Science and Technology;https://ror.org/03zzmvm93;Bangladesh;matched
Azerbaijan State University of Economics (UNEC);azerbaijanstateuniversityofeconomicsunec;Azerbaijan State University of Economics;https://ror.org/000y2g343;Azerbaijan;matched
Asian Organic Agricultural Research and Development Institute (AOI);asianorganicagriculturalresearchdevelopmentinstituteaoi;Research & Development Institute;https://ror.org/01r8yv121;United States;matched
Indian Institute of Foreign Trade, New Delhi Campus;indianinstituteofforeigntradenewdelhicampus;Indian Institute of Foreign Trade;https://ror.org/00efgh409;India;matched
Cooch Behar Agricultural Science Center;coochbeharagriculturalsciencecenter;Wolf Science Center;https://ror.org/03r0pj309;Austria;matched
University of Calgary;universityofcalgary;University of Calgary;https://ror.org/03yjb2x39;Canada;matched
Dr. Harisingh Gour University - Department of Commerce;drharisinghgouruniversitydepartmentofcommerce;Department of Commerce;https://ror.org/03dmtvy82;Australia;matched
George Mason University - Department of Economics;georgemasonuniversitydepartmentofeconomics;George Mason University;https://ror.org/02jqj7156;United States;matched
Former Student of Queen Mary University of London;formerstudentofqueenmaryuniversityoflondon;Queen Mary University of London;https://ror.org/026zzn846;United Kingdom;matched
Ballsbridge University;ballsbridgeuniversity;Ballsbridge University;https://ror.org/0472sp635;Dominica;matched
NYU Stern Department of Economics;nyusterndepartmentofeconomics;Ministry of Economics;https://ror.org/00kzfz874;Latvia;matched
Hooghly Mohsin College;hooghlymohsincollege;Franklin W. Olin College of Engineering;https://ror.org/000zamq06;United States;matched
The University of Western Australia - UWA Business School;theuniversityofwesternaustraliauwabusinessschool;The University of Western Australia;https://ror.org/047272k79;Australia;matched
Suresh Gyan Vihar University;sureshgyanviharuniversity;Gyan Vihar University;https://ror.org/048q3sh29;India;matched
University of Delhi - Department of Financial Studies;universityofdelhidepartmentoffinancialstudies;University of Delhi;https://ror.org/04gzb2213;India;matched
Guangxi University;guangxiuniversity;Guangxi University;https://ror.org/02c9qn167;China;matched
The Johns Hopkins University;thejohnshopkinsuniversity;Johns Hopkins University;https://ror.org/00za53h95;United States;matched
Sri Krishna College of Technology;srikrishnacollegeoftechnology;William V. S. Tubman University;https://ror.org/01t6qw336;Liberia;matched
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Stolypin Volga Region Institute of Administration;russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepastolypinvolgaregioninstituteofadministration;Russian Academy of Arts;https://ror.org/05960ca78;Russia;matched
Australian National University (ANU) - Australia South Asia Research Centre (ASARC);australiannationaluniversityanuaustraliasouthasiaresearchcentreasarc;Australian National University;https://ror.org/019wvm592;Australia;matched
Texas Tech University, College of Agricultural Sciences and Natural Resources, Department of Agricultural and Applied Economics, Students;texastechuniversitycollegeofagriculturalsciencesnaturalresourcesdepartmentofagriculturalappliedeconomicsstudents;Texas Tech University;https://ror.org/0405mnx93;United States;matched
Univ. Of Arizona College of Law;univofarizonacollegeoflaw;University of Arizona;https://ror.org/03m2x1q45;United States;matched
Department of Management, University of Rome La Sapienza, Italy;departmentofmanagementuniversityofromelasapienzaitaly;University of Rome Tor Vergata;https://ror.org/02p77k626;Italy;matched
Shaheed Bhagat Singh College, University of Delhi;shaheedbhagatsinghcollegeuniversityofdelhi;University of Delhi;https://ror.org/04gzb2213;India;matched
Chukwuemeka Odumegwu Ojukwu University - Department of Business Administration;chukwuemekaodumegwuojukwuuniversitydepartmentofbusinessadministration;Chukwuemeka Odumegwu Ojukwu University;https://ror.org/018ze3r73;Nigeria;matched
GNIMS;gnims;;;;no_match
Univesity of Lagos;univesityoflagos;University of Lagos;https://ror.org/05rk03822;Nigeria;matched
Ankara University;ankarauniversity;Ankara University;https://ror.org/01wntqw50;Trkiye;matched
Sindh Madressatul Islam University;sindhmadressatulislamuniversity;Sindh Madressatul Islam University;https://ror.org/00467a196;Pakistan;matched
NOVA Community College;novacommunitycollege;Alpena Community College;https://ror.org/04yvwfh57;United States;matched
Pforzheim University;pforzheimuniversity;Mahatma Gandhi University;https://ror.org/00h4spn88;India;matched
Srinivas University;srinivasuniversity;Srinivas University;https://ror.org/019qzkn95;India;matched
University of Sfax - National School of Engineering of Sfax;universityofsfaxnationalschoolofengineeringofsfax;University of Sfax;https://ror.org/04d4sd432;Tunisia;matched
Dr. Ambedkar Institute of Management Studies and Research;drambedkarinstituteofmanagementstudiesresearch;IMS Unison University;https://ror.org/03efa8j75;India;matched
University of California, San Diego - School of Global Policy and Strategy;universityofcaliforniasandiegoschoolofglobalpolicystrategy;University of California San Diego;https://ror.org/0168r3w48;United States;matched
The Lyme Timber Company LP;thelymetimbercompanylp;MEC Company Ltd. (Japan);https://ror.org/00055wn08;Japan;matched
Department of Primary Industries and Regional Development, Western Australia;departmentofprimaryindustriesregionaldevelopmentwesternaustralia;Department of Primary Industries and Regional Development;https://ror.org/01awp2978;Australia;matched
University of Bonn - Center for Development Research (ZEF);universityofbonncenterfordevelopmentresearchzef;University of Bonn;https://ror.org/041nas322;Germany;matched
Stanford University;stanforduniversity;Stanford University;https://ror.org/00f54p054;United States;matched
University of Adelaide;universityofadelaide;University of Aden;https://ror.org/02w043707;Yemen;matched
Warsaw University of Life Sciences;warsawuniversityoflifesciences;Warsaw University of Life Sciences;https://ror.org/05srvzs48;Poland;matched
Jamia Millia Islamia (A Central University), Faculty of Law, Students;jamiamilliaislamiaacentraluniversityfacultyoflawstudents;Jamia Millia Islamia;https://ror.org/00pnhhv55;India;matched
Faculty of Business Administration and Liberal Arts, Rajamangala University of Technology Lanna Tak, Thailand;facultyofbusinessadministrationliberalartsrajamangalauniversityoftechnologylannatakthailand;Rajamangala University of Technology Lanna;https://ror.org/04synqw60;Thailand;matched
Akdeniz niversitesi;akdenizniversitesi;Akdeniz University;https://ror.org/01m59r132;Trkiye;matched
International Food Policy Research Institute (IFPRI);internationalfoodpolicyresearchinstituteifpri;International Food Policy Research Institute;https://ror.org/03pxz9p87;United States;matched
Lincoln Agritech Limited;lincolnagritechlimited;Chubb (Switzerland);https://ror.org/049sebs45;Switzerland;matched
Faculty of Business Administration, Rajamangala University of Technology Phra Nakhon, Thailand;facultyofbusinessadministrationrajamangalauniversityoftechnologyphranakhonthailand;Rajamangala University of Technology Phra Nakhon;https://ror.org/02mg36m74;Thailand;matched
University of Lagos, Faculty of Social Sciences, Department of Sociology;universityoflagosfacultyofsocialsciencesdepartmentofsociology;University of Lagos;https://ror.org/05rk03822;Nigeria;matched
International Institute for Development Studies;internationalinstitutefordevelopmentstudies;Institute of Development Studies;https://ror.org/0288jxv49;United Kingdom;matched
The Rural Economy and Agricultural Society;theruraleconomyagriculturalsociety;The Operational Research Society;https://ror.org/00n3bma30;United Kingdom;matched
Goa Institute of Management;goainstituteofmanagement;Samara Institute of Management;https://ror.org/01gw7yt49;Russia;matched
Gokhale Institute of Politics and Economics;gokhaleinstituteofpoliticseconomics;Gokhale Institute of Politics and Economics;https://ror.org/01mksg519;India;matched
Auburn University;auburnuniversity;Auburn University;https://ror.org/02v80fc35;United States;matched
S.S.L. Jain P.G. College - Department of Political science;ssljainpgcollegedepartmentofpoliticalscience;Institute of Political Science of the Slovak Academy of Sciences;https://ror.org/0388g9052;Slovakia;matched
Tarlac Agricultural University (TAU) (Formerly the Tarlac College of Agriculture);tarlacagriculturaluniversitytauformerlythetarlaccollegeofagriculture;Kerala Agricultural University;https://ror.org/01n83er02;India;matched
Valparaiso University - Department of Economics;valparaisouniversitydepartmentofeconomics;Valparaiso University;https://ror.org/01pp0fx48;United States;matched
Hanyang University;hanyanguniversity;Hanyang University;https://ror.org/046865y68;South Korea;matched
United Nations Development Programme;unitednationsdevelopmentprogramme;United Nations Development Programme;https://ror.org/051777d98;United States;matched
Center for Development Research (ZEF), University of Bonn;centerfordevelopmentresearchzefuniversityofbonn;University of Bonn;https://ror.org/041nas322;Germany;matched
Institute of Technology and Life Sciences,  Warsaw Campus;instituteoftechnologylifescienceswarsawcampus;Institute of Technology and Life Sciences;https://ror.org/01q2fk491;Poland;matched
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepainstituteofappliedeconomicresearch;Institute of Applied Economic Research;https://ror.org/02d3hy418;Brazil;matched
Tyche Investments - Climate Consulting Group;tycheinvestmentsclimateconsultinggroup;PA Consulting Group;https://ror.org/03jh7vc52;United Kingdom;matched
ICAR-National Academy of Agricultural Research Management;icarnationalacademyofagriculturalresearchmanagement;National Academy of Agricultural Research Management;https://ror.org/02rx19412;India;matched
KU Leuven - Centre for Institutions and Economic Performance (LICOS);kuleuvencentreforinstitutionseconomicperformancelicos;KU Leuven;https://ror.org/05f950310;Belgium;matched
Independent, Independent;independentindependent;Independent Age;https://ror.org/04ckn3152;United Kingdom;matched
Universidad EAFIT;universidadeafit;Universidad EAFIT;https://ror.org/03y3y9v44;Colombia;matched
Ca Foscari University of Venice - Dipartimento di Economia;cafoscariuniversityofvenicedipartimentodieconomia;Ca' Foscari University of Venice;https://ror.org/04yzxz566;Italy;matched
Martin Luther University of Halle-Wittenberg;martinlutheruniversityofhallewittenberg;Luther University;https://ror.org/015dhy417;South Korea;matched
NAARM;naarm;;;;no_match
Faculty of Law SRM University Delhi-NCR Sonepat;facultyoflawsrmuniversitydelhincrsonepat;SRM University;https://ror.org/037skf023;India;matched
Universidad Nacional Mayor de San Marcos;universidadnacionalmayordesanmarcos;National University of San Marcos;https://ror.org/006vs7897;Peru;matched
International Council for Family Business;internationalcouncilforfamilybusiness;International Olive Council;https://ror.org/0006wrh30;Spain;matched
