cleaned_name;count
colepolytechniquefdraledelausanneepfl;2
adammickiewiczuniversity;2
wachtellliptonrosenkatz;2
microsoft;2
universityoflouisianaatlafayette;2
universityofguelph;2
universityofmassachusettsamherstdepartmentoffinance;2
universityofmannheim;2
officeofthesuperintendentoffinancialinstitutionsosfi;2
universityofpassau;2
universityofhuddersfield;2
harvarduniversityharvardkennedyschoolhks;2
universityofhuelva;2
fijinationaluniversityfnu;2
federalreservebanksfederalreservebankofnewyork;2
internationalislamicuniversityislamabad;2
medlabcorpaccraghana;2
luxembourginstituteofsocioeconomicresearchliser;2
universityofwisconsinlacrosse;2
pontificiauniversidadcatlicadechile;2
universityofcaliforniaberkeleyschooloflaw;2
universityofvirginiamcintireschoolofcommerce;2
universityofcoloradoboulder;2
abubakartafawabalewauniversity;2
universityofgreenwichbusinessschool;2
uppsalauniversity;2
universityofchicago;2
bocconiuniversitydepartmentofmarketing;2
universityofwarsawfacultyofeconomicsciences;2
universityofgreenwich;2
universityofwrocaw;2
universityofnevadalasvegas;2
universityofalabamaculverhousecollegeofcommercebusinessadministration;2
lilleuniversitycnrslilleeconomicsmanagmentumr9221;2
universityofthegermanfederalarmedforcesuniversittderbundeswehrmnchen;2
universityofbarcelona;2
astonuniversity;2
universitdesherbrookecepsinstead;2
modibboadamauniversityoftechnologyyola;2
universityofcoloradoatdenver;2
universityofauckland;2
universityofnigeria;2
cityuniversitylondoninternationalpoliticaleconomy;2
universityofcaliforniasandiego;2
facultyoforganizationalsciencesdeceased;2
ohiostateuniversityfishercollegeofbusinessdepartmentoffinance;2
jeanlorougnonguduniversity;2
universidadveracruzana;2
trisaktiuniversitydepartmentofaccounting;2
bankofengland;2
monashuniversitydepartmentofaccounting;2
universidadedebrasliaunb;2
universityofibadan;2
renminuniversityofchina;2
abudhabiuniversity;2
universityofminnesotacarlsonschoolofmanagement;2
varnauniversityofeconomics;2
universityofbonninstituteofeconomicpolicy;2
universityofessex;2
universityofbritishcolumbiaubcdepartmentofeconomics;2
queenslanduniversityoftechnologyschoolofaccountancy;2
nnamdiazikiweuniversity;2
drbabasahebambedkarmarathwadauniversity;2
lemansuniversity;2
kentstateuniversityfoundation;2
universityofwaikato;2
gitamuniversityvisakhapatnam;2
iscteiulinstitutouniversitariodelisboa;2
nationaluniversityofsingaporenusleekuanyewschoolofpublicpolicy;2
elonuniversity;2
bostonuniversity;2
deloittetaxllp;2
americafirstpolicyinstituteafpi;2
columbiauniversitylawschool;2
newyorkuniversitynyunewyorkuniversityabudhabi;2
mbsschoolofbusiness;2
thewhartonschooltheuniversityofpennsylvania;2
universityofcambridgedepartmentoflandeconomyrobinsoncollege;2
universityofgothenburgcentreforfinance;2
emoryuniversity;2
institureforstructuralresearch;2
graduateschoolofnorthamericanstudies;2
universityofpennsylvaniacareylawschool;2
bostonuniversitydepartmentofeconomics;2
maastrichtuniversity;2
michigantechnologicaluniversity;2
universityofstthomas;2
metropolitanstateuniversityofdenver;2
middletennesseestateuniversity;2
postgrowthinstitute;2
universityofmichiganstephenmrossschoolofbusiness;2
universityofkarachikarachiuniversitybusinessschool;2
universityofmelbournedepartmentofeconomics;2
istanbulsabahattinzaimuniversity;2
battenschoolofpublicpolicy;2
yalesom;2
hillsdalecollege;2
universityofmichiganlawschool;2
troyuniversitymanuelhjohnsoncenterforpoliticaleconomy;2
departmentofgovernmentharvarduniversity;2
johnsonwalesuniversity;2
stateuniversityofnewyorksunydepartmentofeconomics;2
theheritagefoundation;2
concordiauniversityquebec;2
virginiatech;2
australiannationaluniversityanucrawfordschoolofpublicpolicy;2
ecolesuperieuredessciencescommercialesdangersessca;2
nationalinstituteofdevelopmentadministrationnida;2
jamesmadisonuniversity;2
centreforappliedresearch;2
ballstateuniversitydepartmentofeconomics;2
indianinstituteofmanagementraipur;2
federalreservebanksfederalreservebankofstlouis;2
franciscomarroquinuniversity;2
universityofwashingtonmichaelgfosterschoolofbusiness;2
universityofchicagolawschool;2
usdepartmentofthetreasury;2
indianinstituteofmanagementkozhikode;2
bennettinstituteforpublicpolicyuniversityofcambridge;2
universityofnottinghamschoolofeconomics;2
standtogether;2
transparencyinternational;2
universityofdaressalaam;2
depauluniversitydepartmentoffinance;2
nationaluniversityofsingaporenus;2
centraleuropeanuniversity;2
universityofyork;2
desautelsfacultyofmanagementmcgilluniversity;2
georgewashingtonuniversitydepartmentofeconomics;2
bocconiuniversity;2
universityofsouthampton;2
universityofvermontlarnercollegeofmedicinedepartmentofradiology;2
universitcheikhantadiopucad;2
bundeswehruniversitymunich;2
bankpolicyinstitute;2
bettermentllc;2
nationalbureauofeconomicresearchnber;2
universityofindonesiauidepartementofchemicalengineering;2
newyorkuniversitynyu;2
australianhouseofrepresentativesparliamenthouse;2
universitycollegelondonuclschoolofmanagement;2
universityofwesternontariodepartmentofeconomics;2
universityofamsterdam;2
purdueuniversitykrannertschoolofmanagement;2
universityoflagos;2
universityofsheffield;2
universityofhaifafacultyoflaw;2
universityofsierraleonefourahbaycollege;2
universityofaddisababa;2
universitparisnanterre;2
universityofstuttgart;2
hsbcglobalassetmanagement;2
universidadedebrasilia;2
andersongraduateschoolofmanagementucla;2
universityofbonn;2
universityoftoronto;2
abudhabiuniversitydepartmentofaccounting;2
technischeuniversittmnchentumtumschoolofmanagement;2
kansasstateuniversity;2
misuratauniversity;2
almamaterstudiorumuniversityofbologna;2
hakuohuniversity;2
hongkongpolytechnicuniversityfacultyofbusiness;2
financialresearchinstitute;2
beykentuniversity;2
universityoftexasatdallasschoolofmanagementdepartmentoffinancemanagerialeconomics;2
wenzhoukeanuniversity;2
economicsinternationalinc;2
australiannationaluniversity;2
westukrainiannationaluniversity;2
universityofgeorgiadepartmentofagriculturalappliedeconomics;2
columbiacenteronsustainableinvestment;2
universidadsantotoms;2
universityofsalamanca;2
technicaluniversityofmombasa;2
potsdaminstitutfrklimafolgenforschungpik;2
climateeconometricsinstituteforneweconomicthinkingattheoxfordmartinschool;2
koreauniversity;2
adelphiuniversityschoolofbusiness;2
universityoftoulouse3laboratoiredegestionetdestransitionsorganisationnelleslgto;2
grundtvigpolytechnicobanigeria;2
depauluniversitycollegeofcommerce;2
universityofoslodepartmentofeconomics;2
islamicazaduniversityiautehrannorthbranch;2
oicostechnologiesgmbh;2
shanghaijiaotonguniversitysjtushanghaiadvancedinstituteoffinancesaif;2
griffithuniversity;2
manhattanuniversity;2
universityofstandrews;2
kampalainternationaluniversity;2
universityoflagosdepartmentofaccounting;2
centrouniversitariodeladefensadezaragoza;2
universityofbritishcolumbiaubc;2
brownuniversitydepartmentofeconomics;2
universityofalqadisiyah;2
thecitadel;2
usdepartmentofagricultureusdaeconomicresearchserviceers;2
ethzrichcerethcenterofeconomicresearchatethzurich;2
yuanzeuniversity;2
qataruniversity;2
indianauniversitykelleyschoolofbusinessdepartmentofaccounting;2
macalestercollegedepartmentofeconomics;2
escpbusinessschool;2
southeasternuniversityofsrilanka;2
tokyoinstituteoftechnology;2
yaleuniversitydepartmentofeconomics;2
utrechtuniversity;2
wuviennauniversityofeconomicsbusiness;2
arizonastateuniversityasuwpcareyschoolofbusiness;2
europeancentralbankecb;2
ashokauniversitydepartmentofeconomics;2
indianinstituteoftechnologyiitkanpurdepartmentofeconomicsciences;2
affiliationnotprovidedtossrn;2
norcattheuniversityofchicago;2
industrialuniversityofhochiminhcity;2
australiancatholicuniversity;2
iisuniversity;2
motilalnehrunationalinstituteoftechnologymnnit;2
trinityuniversitydepartmentofaccounting;2
baruchcollegecuny;2
indianinstituteofscienceiiscdivechacentreforclimatechangedccc;2
bocconiuniversitydepartmentofaccounting;2
taxjusticenetwork;2
pirmehralishaharidagricultureuniversityrawalpindistudents;2
capecoasttechnicaluniversity;2
truthinaccounting;2
universityofgeorgia;2
universityofvienna;2
theurbaninstitute;2
universityofprishtina;2
zarqauniversity;2
universityofmississippipattersonschoolofaccountancy;2
federalreservebanksfederalreservebankofdallas;2
brighamyounguniversity;2
americanuniversityofsharjah;2
europeanunioneuropeancommissioneuropeanunioneuropeancommission;2
istanbuluniversity;2
vasillevskinationalmilitaryuniversity;2
universityatbuffalosunyschoolofmanagement;2
departmentofeconomics;2
leibnizuniversitthannover;2
rajamangalauniversityoftechnologyphranakhon;2
meredithcollege;2
usmanudanfodiyouniversityudusokdepartmentofpublicadministration;2
dankookuniversity;2
zewleibnizcentreforeuropeaneconomicresearch;2
goetheuniversittfrankfurtammain;2
covenantuniversitydepartmentofbanking;2
universityoftorontorotmanschoolofmanagement;2
marketplatformdynamics;2
universityofconnecticutfinancedepartment;2
knustfinanceoffice;2
gaidarinstituteforeconomicpolicy;2
universitdeglistudidimodenaereggioemiliaunimoreschoolofdoctoratee4eengineeringforeconomicseconomicsforengineering;2
stateuniversityofjakartafacultyofeconomicsstudents;2
universityofklagenfurt;2
goetheuniversityfrankfurt;2
europeanstabilitymechanism;2
governmentfirstgradecollege;2
pucsp;2
universitasjambi;2
universityofsharjah;2
bankforinternationalsettlementsbis;2
masseyuniversitymasseyuniversityauckland;2
universityofleicester;2
parisschoolofeconomicspse;2
harvardbusinessschool;2
chineseacademyofsocialsciencescassinstituteofeconomics;2
universityofreadingicmacentre;2
macquarieuniversity;2
karachiuniversitybusinessschool;2
universityofcaliforniadavisdepartmentofeconomics;2
banquedefrance;2
westernsydneyuniversity;2
shivnadaruniversitydepartmentofeconomics;2
oklahomastateuniversitystillwater;2
fengchiauniversity;2
universityofsydneyschoolofeconomics;2
rutgersthestateuniversityofnewjerseyaccountinginformationsystems;2
universityofcincinnatidepartmentofaccounting;2
southernmethodistuniversitysmudepartmentofeconomics;2
mississippistateuniversitydepartmentofagriculturaleconomics;2
hitotsubashiuniversity;2
vuongassociateshanoi;2
universityofberninstituteforsociology;2
nhhnorwegianschoolofeconomics;2
councilofscientificindustrialresearchcsirghana;2
universityofappliedsciencesmainz;2
dseas;2
tafilatechnicaluniversitybusinessfaculty;2
norwegianbusinessschool;2
konguengineeringcollege;2
maynoothuniversity;2
modibboadamauniversityoftechnology;2
nationaltaiwanuniversitydepartmentofeconomics;2
universiteflixhouphouetboignyuniversityoffelixhouphouetboigny;2
northcarolinacentraluniversitynccu;2
bayloruniversity;2
universityofljubljanafacultyofeconomics;2
washingtonstateuniversityvancouver;2
gitam;2
universityofsussex;2
universityofflorida;2
universityofantwerp;2
universityofwisconsinatmadisoneconomics;2
universityoftexasatarlington;2
federalreservebanksfederalreservebankofphiladelphia;2
carletonuniversity;2
universityofnorthcarolinaatchapelhill;2
hertieschoolofgovernance;2
ipsaruniversityofedinburghbusinessschool;2
collegeofmicronesiafsm;2
mufgsecuritiesemeaplc;2
hecmontrealinstituteofappliedeconomics;2
universityoffreiburg;2
universityofchicagodepartmentofeconomics;2
universityofmissouri;2
queenslanduniversityoftechnology;2
universityofakrondepartmentoffinancecollegeofbusinessadministration;2
banquedefranceuniversitparisipanthonsorbonne;2
nigerdeltauniversityndu;2
queenslandunivesityoftechnology;2
universityofcambridgecambridgejudgebusinessschool;2
viennainstituteofinternationaleconomicstudieswiiw;2
boothschoolofbusinessuniversityofchicago;2
southamptonbusinessschooluniversityofsouthampton;2
firstbankofnigeria;2
federalreservebanksfederalreservebankofminneapolis;2
usmanudanfodiyouniversity;2
kwangwoonuniversity;2
floridastateuniversity;2
ranepa;2
quinnipiacuniversity;2
cornerstoneresearchinc;2
stateuniversityofjakartafacultyofeconomics;2
whuottobeisheimschoolofmanagement;2
theconferenceboard;2
toulousebusinessschool;2
monashuniversitydepartmentofeconometricsbusinessstatistics;2
universityofcaliforniairvine;2
universityofcincinnati;2
universityofmiamischoolofbusinessadministrationdepartmentofeconomics;2
californiastateuniversityatfullerton;2
pennsylvaniastateuniversity;2
dartmouthcollegetuckschoolofbusiness;2
universityofsoutheasternnorwayusnschoolofbusiness;2
islamicazaduniversitymaraghehbranch;2
cityuniversityofnewyorkcunybaruchcollege;2
monashuniversity;2
zao2kauditbusinessconsulting;2
universityofedinburghschoolofeconomics;2
trakiauniversity;2
universityofwarwickdepartmentofeconomics;2
iebusinessschoolieuniversity;2
internationaluniversityofrabatrabatbusinessschool;2
aligarhmuslimuniversityamufacultyoflaw;2
nationalgraduateinstituteforpolicystudiesgripstokyo;2
federalreservebankofchicago;2
universitdeglistudidiudinedepartmentofeconomics;2
texasamuniversity;2
universityofvirginiadardenbusinessschool;2
indianinstituteofmanagementsambalpurindianinstituteofmanagementiimsambalpur;2
universityofiowahenrybtippiecollegeofbusiness;2
youngstownstateuniversity;2
kielinstitutefortheworldeconomy;2
governmentoftheunitedstatesofamericaofficeoffederalhousingenterpriseoversight;2
universityofnortherniowa;2
tafilatechnicaluniversity;2
lingnanuniversitydepartmentofeconomics;2
southernoregonuniversity;2
universityoforegondepartmentofeconomics;2
ballardspahrllp;2
alphabeta;2
universityofdubaidubaibusinessschool;2
universityofdubai;2
newyorkuniversityabudhabi;2
hilliardshadowenllp;2
poznanuniversityofeconomics;2
georgetownuniversitymcdonoughschoolofbusiness;2
universityofcambridgedepartmentoflandeconomy;2
jagiellonianuniversityinkrakow;2
unccharlotte;2
universityofcalifornialosangelesuclamarketingarea;2
drexeluniversity;2
universityofrhodeisland;2
ohiouniversity;2
universityoftoulousecapitole;2
stateuniversityofnewyorkatbuffalodepartmentofeconomics;2
uclaandersonschoolofmanagement;2
frankfurtschooloffinancemanagement;2
lancasteruniversitydepartmentofaccounting;2
universityofstirlingdepartmentofaccounting;2
freeuniversityberlindepartmentaccounting;2
universityofmacedoniaaccounting;2
universidaddealicantefundamentosdelanlisiseconmicofae;2
internationalislamicuniversityofmalaysiaiium;2
stjeromersquosuniversity;2
indianauniversitymaurerschooloflaw;2
theeducationuniversityofhongkong;2
xavieruniversity;2
huntsmanschoolofbusiness;2
westvirginiauniversitycollegeofbusinesseconomics;2
harvarduniversity;2
indianauniversitybloomingtondepartmentofeconomics;2
easttexasbaptistuniversity;2
americanuniversityschoolofpublicaffairs;2
jamesmadisonuniversitydepartmentofeconomics;2
universidaddelcema;2
theuniversityofnottingham;2
universityofwindsorodetteschoolofbusiness;2
texasamuniversitydepartmentofeconomics;2
universityofmemphis;2
universitatautonomadebarcelona;2
ivycollegeofbusinessiowastateuniversity;2
universityofsoutherncaliforniasolpriceschoolofpublicpolicystudents;2
weizmanninstituteofscience;2
gonzagauniversity;2
admasuniversitysomaliland;2
brandeisuniversity;2
westfaelischehochschule;2
yaleschoolofmanagement;2
stanforduniversitydepartmentofeconomics;2
uscgouldschooloflaw;2
saintlawrenceuniversity;2
universityofbergendepartmentofeconomics;2
universityofmarylandglobalcampus;2
centerforhealthservicesresearchlarnercollegeofmedicineuniversityofvermont;2
virginiacommonwealthuniversityschoolofbusinessdepartmentofeconomics;2
tuckschoolofbusiness;2
ohiostateuniversityosujohnglenncollegeofpublicaffairs;2
facultyofengineeringuniversityofindonesia;2
moodysanalytics;2
universitycollegelondon;2
brownuniversity;2
universityofquebecatmontrealuqam;2
newyorkuniversitynyucourantinstituteofmathematicalsciences;2
instituteforstructuralresearchibs;2
harvarduniversityharvardlawschool;2
swissnationalbank;2
universityofcaennormandy;2
catholiqueuniversityofmilan;2
federalreservebanksfederalreservebankofsanfrancisco;2
instituteofruraldevelopmentplanning;2
yaleuniversityschoolofmanagementstudents;2
ifad;2
ucsantacruz;2
universityofantwerpinstituteofdevelopmentpolicy;2
universidadsimnbolvardebarranquilla;2
theuniversityofmanchester;2
somaiyavidyaviharuniversitymumbai;2
virginiatechdepartmentofeconomics;2
unitednationsuniversityunumerit;2
delhiuniversity;2
netajisubhasopenuniversity;2
purdueuniversitycollegeofagriculture;2
indiahabitatcentreindiancouncilforresearchoninternationaleconomicrelationsicrier;2
purdueuniversitydepartmentofagriculturaleconomics;2
federationuniversityaustralia;2
universityofwarsawfacultyofmanagement;2
periyaruniversitydepartmentofcomputerscience;2
northwesternuniversity;2
indianauniversity;2
unicefsouthafrica;2
shrisantdamajicollege;2
utrechtuniversitydepartmentofeconomicgeography;2
manipalacademyofhighereducation;2
bonduniversity;2
deutschesinstitutfrentwicklungspolitikdiegermandevelopmentinstitutedie;2
yorkuniversity;2
drrajendraprasadcentralagriculturaluniversity;2
iowastateuniversitydepartmentofeconomics;2
chonnamnationaluniversity;2
universityofbelgradefacultyofagriculture;2
jadavpuruniversitydepartmentofeconomicsstudents;2
delasalleuniversity;2
columbiauniversitycolumbiaearthinstitute;2
academyoffinancialmanagementministryoffinanceofukraine;2
technischeuniversittmnchentum;2
systemsresearchinstitutepolishacademyofscience;2
usamvbucharest;2
gujarattechnologicaluniversityindia;2
staloysiuscollege;2
departmentofappliedeconomicsuniversityofoviedo;2
harvardpharmaceuticalspltd;2
asiandevelopmentbank;2
voronezhinstituteofthefederalpenitentiaryserviceofrussia;2
frenchnationalinstituteforagriculturalresearchinragrenobleappliedeconomiclaboratory;2
mindorostateuniversity;2
americanuniversity;2
indianstatisticalinstitute;2
kyotouniversitygraduateschoolofagriculturedivisionofnaturalresourceeconomics;2
universityofmysoredeptartmentofanthropology;2
princetonuniversitydepartmentofeconomics;2
environmentcde;2
planfoundation;2
transatlanticschoolofmanagement;2
providencewomenscollege;2
pennsylvaniastateuniversitysmealcollegeofbusiness;2
californiastateuniversityla;2
asianinstituteoftechnologyait;2
mbgovernmentpgcollege;2
ashkelonacademiccollege;2
tarakeswardegreecollegedepartmentofcommerce;2
universityofcolombo;2
statisticalofficeinreszow;2
annamalaiuniversitydepartmentofagriculturalextension;2
universityofcaliforniaberkeleydepartmentofagriculturalresourceeconomics;2
institutpoagrarnaikonomika;2
universityofcaliforniaberkeleytherichardrhodagoldmanschoolofpublicpolicy;2
adauniversity;2
bahauddinzakariyauniversitymultan;2
huberlin;2
schoolofpublicpolicy;2
yenepoyainstituteofartssciencecommercemanagement;2
universityofthenationaleducationcommissionkrakow;2
tudortmunduniversity;2
massachusettsinstituteoftechnologymitstanforduniversitydepartmentofeconomics;2
congdoanuniversity;2
ugaagappliedeconomics;2
universityofvictoriadepartmentofeconomics;2
koreauniversitybusinessschool;2
hongkongpolytechnicuniversity;2
alzahrauniversity;2
kogakuinuniversity;2
universityofcaliforniaatberkeleyschooloflaw;2
soganguniversity;2
universityoflilleiinstituteofbusinessadministration;2
universityofgroningendepartmentofaccounting;2
universityofnorthcarolinakenanflaglerbusinessschool;2
mississippistateuniversity;2
bostonuniversityquestromschoolofbusiness;2
bayloruniversitydepartmentofaccountingbusinesslaw;2
jrcseville;2
universityofappliedsciencesforpublicadministration;2
columbiauniversitycolumbiacenteronsustainableinvestment;2
petersoninstituteforinternationaleconomics;2
symbiosisinternationaldeemeduniversitypuneindia;2
universityoftexasatelpaso;2
stateuniversityofnewyorkempirestateuniversity;2
kuvempuuniversity;2
pontifciauniversidadecatlicapucsp;2
fakultasekonomidanbisnisuniversitasjambi;2
germanpoliceuniversitymunster;2
masseyuniversityschoolofaccountancy;2
brownuniversitydepartmentofeconomicsstudents;2
iesegschoolofmanagement;2
icmacentrehenleybusinessschooluniversityofreading;2
southernmethodistuniversitysmu;2
kuleuvenleuvencentreforglobalgovernancestudies;2
advancedtechnologicalinstitute;2
motilalnehrunationalinstituteoftechnologymnnithumanitiesdepartment;2
depauluniversity;2
iisdeemedtobeuniversity;2
exceliabusinessschool;2
bancodeespaa;2
nationalboardfortechnicaleducation;2
nationalinstituteforenvironmentalstudies;2
universityofwarwick;2
internationalinstituteofcertifiedforensicinvestigationprofessionalsinciicfip;2
universityofgirona;2
yalovauniversitydepartmentofbusinessadministration;2
tuftsuniversity;2
duhokuniversity;2
ethzrich;2
theroyalswedishacademyofsciencesbeijerinternationalinstituteofecologicaleconomics;2
stjosephsuniversitydepartmentofmarketing;2
rutgersthestateuniversityofnewjerseyagriculturalfoodresourceeconomics;2
pontificalcatholicuniversityofchiledepartmentofagriculturaleconomics;2
syracuseuniversitydepartmentofeconomics;2
universityofpretoria;2
georgetownuniversitydepartmentofeconomics;2
jadavpuruniversitydepartmentofeconomics;2
massachusettsinstituteoftechnologymiteconomicsfinanceaccountingefaaffiliationnotprovidedtossrn;2
queenslanduniversityoftechnologyfacultyoflaw;2
islamicazaduniversity;2
centralbankofchile;2
copenhagenbusinessschool;2
columbiabusinessschool;2
northernarizonauniversity;2
universityofvirginia;2
universityoforegonschooloflaw;2
vlerickbusinessschool;2
communicationuniversityofchina;2
sultanqaboosuniversity;2
northwesternuniversitydepartmentofeconomics;2
metropolitanstateuniversityofdenverdepartmentofeconomics;2
hunanuniversitybusinessschool;2
centreforeconomicpolicyresearchcepr;2
universityofsouthernqueensland;2
universitatpompeufabraupf;2
swedishuniversityofagriculturalsciencessludepartmentofeconomics;2
sverigesriksbank;2
barkatullahuniversity;2
universityofnigeriaenugucampus;2
rstreetinstitute;2
russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepamoscowcampus;2
leuphanauniversityoflueneburg;2
harvarduniversitydepartmentofeconomics;2
universityofpittsburgh;2
bostoncollege;2
universityofnorthcarolinauncatchapelhillaccountingarea;2
uncchapelhill;2
newyorkuniversityschooloflaw;2
universitiutaramalaysia;2
universityoftexasataustin;2
universityofsrijayewardenepura;2
deutschebundesbank;2
universityofaberdeen;2
bocconiuniversitydepartmentoflaw;2
georgemasonuniversity;2
audenciabusinessschool;2
universityofillinoisatchicagodepartmentofaccounting;2
universityofnavarraiesebusinessschool;2
michiganstateuniversity;2
aarhusuniversity;2
universityofvirginiadardenschoolofbusiness;2
georgemasonuniversitymercatuscenter;2
londonschoolofeconomics;2
boardofgovernorsofthefederalreservesystem;2
internationalmonetaryfundimf;2
nanyangbusinessschoolnanyangtechnologicaluniversity;2
ueceresearchunitoncomplexityeconomicsremresearchineconomicsmathematicsuniversidadedelisboaiseglisbonschoolofeconomicsmanagement;2
centralmichiganuniversity;2
internationaluniversityofmonacoium;2
universityofsiegen;2
universityofsandiegoschooloflaw;2
universityofconnecticutdepartmentofaccounting;2
universityofsoutherncaliforniasolpriceschoolofpublicpolicy;2
stjosephscollegeutonomousdevagiri;2
sokoineuniversityofagriculture;2
westernkentuckyuniversity;2
shandonguniversityschoolofeconomics;2
universityofminnesotaduluth;2
pennwhartonbudgetmodel;2
karachiuniversitybusinessschoolstudents;2
afebabalolauniversity;2
fudanuniversity;2
sghwarsawschoolofeconomics;2
vanderbiltuniversity;2
unswaustraliabusinessschoolschoolofeconomics;2
cornelluniversity;2
universidadefederaldeminasgerais;2
yaleuniversityyaleprogramonfinancialstability;2
centralmichiganuniversitydepartmentoffinancelaw;2
clemsonuniversityjohnewalkerdepartmentofeconomics;2
georgetownuniversitylawcenter;2
universidaddelosandescolombiadepartmentofeconomics;2
yorkuniversityschulichschoolofbusiness;2
federalreservebanksfederalreservebankofrichmond;2
fordhamuniversityschooloflaw;2
texastechuniversityfreemarketinstitute;2
theuniversityofsydneylawschool;2
ramkhamhaenguniversityinstituteofinternationalstudies;2
universityofillinoisaturbanachampaigndepartmentofeconomics;2
universityofutahdavidecclesschoolofbusiness;2
babsoncollege;2
trinityuniversitydepartmentofeconomics;2
universityofcentralflorida;2
mcmasteruniversity;2
fayettevillestateuniversitydepartmentofaccounting;2
lokswasthyasewatrust;2
nationalresearchinstituteinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri;2
centerfordevelopmentresearchzefuniversityofbonn;2
goainstituteofmanagement;2
internationalfoodpolicyresearchinstituteifpri;2
warsawuniversityoflifesciences;2
stanforduniversity;2
srinivasuniversity;2
georgemasonuniversitydepartmentofeconomics;2
azerbaijanstateuniversityofeconomicsunec;2
rzeszowuniversityoftechnology;2
poznanuniversityoflifesciencespoland;2
universityofzimbabwe;2
hankenschoolofeconomics;2
universityofgttingen;2
popejohnpauliistateschoolofhighervocationaleducation;2
rathinamcollegeofartssciencecoimbatoretamilnaduindia;2
cafoscariuniversityofvenicedipartimentodieconomia;2
massachusettsinstituteoftechnologymit;2
indianinstituteofforeigntradecentreforwtostudies;2
nationalresearchinstitutepibinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri;2
instituteofagriculturaleconomics;2
russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepa;2
indianinstituteofforeigntrade;2
kaneffuniversityhospital;2
independent;2
worldbank;2
koreadevelopmentinstitutekdi;2
universityofaucklandbusinessschool;2
universityofmichiganatannarbor;2
universityofcaliforniaberkeleydepartmentofeconomics;2
universityofoxford;2
russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepainstituteofappliedeconomicresearch;2
affiliationnotprovidedtossrnrussianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepainstituteofappliedeconomicresearch;2
universityofsoutherncaliforniamarshallschoolofbusiness;2
istariuluniversityinstituteoflisbon;2
ferdowsiuniversityofmashhad;2
australiannationaluniversityanu;2
shivnadaruniversity;2
stanfordgraduateschoolofbusiness;2
europeanuniversityinstituterobertschumancentreforadvancedstudiesrscas;2
columbiauniversitycolumbiabusinessschool;2
universityofillinoisaturbanachampaign;2
universityofeconomicsvarna;2
istanbulmedeniyetuniversity;2
warsawschoolofeconomicssgh;2
iseguniversidadedelisboa;2
singaporemanagementuniversityschoolofaccountancy;2
aaltouniversitydepartmentofaccountingfinance;2
universityofcambridgejudgebusinessschool;2
