titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match;author_1_institution;author_1_ror_url;author_1_country;ror_status;author_1_ror_id
Consent, Coercion, and Bankruptcy Administration;2731426;Accepted Paper Series;UNDER REVIEW;False;Journal of Business & Technology Law, Vol. 11, 2016 SUNY Buffalo Legal Studies Research Paper No. 2016-010;35;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2731426;SUNY Buffalo Law School;True;13 Feb 2016;54;868241;Brown;S. Todd;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=868241;;;;;;;;;;;;;;This essay analyzes the transformation of the role of U.S. bankruptcy courts since Stern v. Marshall.The Supreme Court’s 1982 plurality decision in Northern Pipeline Construction Co. v. Marathon Pipe Line Co. remains one of the most controversial bankruptcy decisions in the Court’s history.  Northern Pipeline limited Article I bankruptcy courts’ authority to hear and decide disputes that fall within the “core” of the bankruptcy power, but declined to provide much guidance concerning the parameters of these bankruptcy-specific “public rights.” Scholars and practitioners who expected the Court to abandon Northern Pipeline, however, were in for a rude awakening when the Court issued its decision in Stern v. Marshall in 2011. Writing for the majority, Chief Justice Roberts not only reaffirmed the constitutional limits of the Article I bankruptcy courts as outlined in Northern Pipeline, but also indicated that litigant consent is insufficient to overcome these limits.;en;0.8247270584106445;en;0.9398269653320312;True;University at Buffalo, State University of New York;https://ror.org/01y64my43;United States;matched;01y64my43
Public Administration System of Russia: Dysfunctions and Institutional Reforms;2728890;Working Paper Series;UNDER REVIEW;False;;10;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2728890;Moscow State Institute of International Relations (MGIMO);True;07 Feb 2016;708;2102342;Osipov;Vladimir;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2102342;;;;;;;;;;;;;2015-11-10;In his lecture during the Nobel Prize in Economics receipt Joseph Stiglitz considered the interconnection of state, market and non-market institutions and emphasized that several reasons were given against state interference in market relations after the growing theoretical understanding of ineffectiveness of markets with imperfect information. However, the analysis revealed that incentives and constraints related to state activities differ from those operating in the private sector. Therefore, even if the state and the private sector confront the same information constraints, in the first case welfare can be increased. Based on this analysis the speaker concluded that market mechanism can be efficient only under very certain circumstances. Thus it is possible to avoid dysfunctions in sustainable economic system development if state institutions, market and non-market institutions are combined.;en;0.7740142941474915;en;0.9599654078483582;True;Moscow State Institute of International Relations;https://ror.org/04zn7jb34;Russia;matched;04zn7jb34
Corruption, Administration of Justice and the Judiciary in Nigeria;2727319;Working Paper Series;UNDER REVIEW;False;;17;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2727319;University of Ibadan - Faculty of Law;True;05 Feb 2016;1024;371418;Obutte;Peter Chukwuma;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=371418;;;;;;;;;;;;;2016-02-03;Corruption in Nigeria has taken a dramatic turn in recent debates and commentaries. Certain practices and experiences explain the perception of judiciary as a limiting factor in the country’s development process. Lack of clarity in juridical stances on effective sanctions and sustainable deterrence for corruption is perceived as systemic incentive that undermines the country’s democratic experience. This paper examines the nature and implications of corruption in the judiciary in Nigeria. It evaluates the dialectics of judicial administration, state and development. The paper argues that if the judiciary, considered the beacon of a democratic process and good governance is tainted in corruption, the developmental objectives of the country will remain a mirage.;en;0.8917497992515564;en;0.9254842400550842;True;University of Ibadan;https://ror.org/03wx2rr30;Nigeria;matched;03wx2rr30
Community Participation in the South African Local Government Dispensation: A Public Administration Scholastic Misnomer;2719581;Accepted Paper Series;UNDER REVIEW;False;International Public Administration Review, Vol. 13, No. 3–4/2015;15;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2719581;University of Limpopo;True;22 Jan 2016;268;2501391;Mathebula;Ntwanano;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2501391;;;;;;;;;;;;;2015-06-21;The interpretation, application and understanding of community participation, the South African local government discourse in particular, is ambiguous, thus, creating a more simplistic and superficial meaning for operationalization. This paper seeks to challenge the notion that community participation is a substitute in its ontological form and connotation for public participation. Many scholars in public administration have jumped on the bandwagon of dispensation, thus creating a misnomer in relation to a distinct nature of community participation and public participation which clearly undermines the authenticity of conception within the discipline and scholarship in general. Using a variety of qualitative secondary data collection and analytical techniques, this paper interrogates the misnomer in public administration scholarship in relation to the use and application of community participation specifically in local government. To successfully demonstrate this misnomer regarding the use, application and understanding of the concepts and their impact on scholarship, five selected articles on community participation and five others on public participation on local government published in the Journal of Public Administration (JOPA) were reviewed. The paper therefore concludes that the influential role of public administration as a scientific discipline is to forge relations with public administration as a practice for the purposes of conceptualizing and operationalising concepts and terminologies. This will ensure conciseness and bypass the contradictions which have potency of denting both scholarship and practice.;en;0.8358789682388306;en;0.9291658997535706;True;University of Limpopo;https://ror.org/017p87168;South Africa;matched;017p87168
Reforms and Collective Action in a Clientelist Party System: Greece During the Mitsotakis Administration (1990-1993);2715801;Accepted Paper Series;UNDER REVIEW;False;South European Society and Politics, 2014, Volume 19, Issue 2, pp. 215-243;21;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2715801;University of Lincoln (UK) - School of Social Sciences;True;18 Jan 2016;47;2498803;Trantidis;Aris;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2498803;;;;;;;;;;;;;2014-01-14;Economic reforms face a collective action problem: they trigger the reaction of groups that expect significant losses, while the anticipated gains are often dispersed across the population and too uncertain to animate strong popular support. This pattern may exhibit different characteristics in a clientelist economy where the affected groups are client groups under the protection of political parties. The reform agenda of the Mitsotakis government in Greece (1990-1993) illustrates that the collective action problem affects primarily the internal structure of the clientelist parties and thereby their capacity for political mobilisation. Reforms that depart from the established political equilibrium on economic policy will undermine the internal cohesion of the government party and will offer the opposition party the opportunity to strengthen its own unity and political mobilisation capacity.;en;0.7599127292633057;en;0.9247159957885742;True;University of Lincoln;https://ror.org/03yeq9x20;United Kingdom;matched;03yeq9x20
Post- Bureaucracy and Post-Bureaucratic Culture in Public Administration.;2710493;Accepted Paper Series;UNDER REVIEW;False;International Journal of Management Sciences and Business Research Vol. 2, Issue 3, 2013;7;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2710493;Eskisehir Osmangazi University;True;04 Jan 2016;546;2495004;Ozmen;Dr.Alper;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2495004;;;;;;;;;;;;;;Bureaucratic culture refers to informal inter-personal relationships by reducing chain of command and formal relationships by means of paying attention to the subordinate’s decisions and preferences thereby keeping spirit of innovation and entrepreneurship. This pattern, foresees public administrators as acting strategically by taking initiative, reflecting an understanding which is trying to remove the distance between itself and environment and appreciating flexibility, open systems and more effective use of social capital. Dynamic use of information and shining out of information-based power relationships are basic factors of this philosophy. This paper, aims to examine the concepts of post-bureaucracy and post- bureaucratic culture that rises in today’s world in which the inflexibilities overcame and new organization models occurred in public administration.;en;0.8359940052032471;en;0.933358669281006;True;Eskişehir Osmangazi University;https://ror.org/01dzjez04;Türkiye;matched;01dzjez04
О Системе Кадровой Диагностики При Оценке Персонала Органов Государственного и Муниципального Управления в Современных Условиях (On the System of Personnel Diagnostics When Evaluating Personnel of State and Municipal Administration in Modern Conditions);2707950;Working Paper Series;UNDER REVIEW;False;;6;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2707950;Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Nizhny Novgorod Institute of Management;True;30 Dec 2015;39;2493157;Панышева ;Светлана;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2493157;;;;;;;;;;;;;2015-12-24;"Russian Abstract: Отечественные и мировые исследования в сфере использования эффективных кадровых технологий при оценке трудового потенциала организации  убедительно показывают, что серьезные преимущества в конкурентной борьбе создают не абстрактные «человеческие ресурсы», а реальные люди, обладающие знаниями,умениями и навыками, способные адекватно отвечать на вызовы современного мира. English Abstract: Domestic and international research in the use of effective personnel technologies when assessing the employment potential of the organization clearly show that the major competitive advantages are created not by abstract ""human resources"", but real people with knowledge, skills and abilities that can respond adequately to the challenges of the modern world.";ru;0.6471498608589172;ru;0.7755204439163208;True;Russian Academy of Arts;https://ror.org/05960ca78;Russia;matched;05960ca78
Государственное Управление: Объекты и Приоритеты. Часть II (Public Administration: Objects and Priorities. Part II);2701125;Accepted Paper Series;UNDER REVIEW;False;SOCIUM and POWER. 2015. № 4. Pages: 83-90.;8;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2701125;Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA);True;20 Dec 2015;22;2108746;Slepyshev;Alexey;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2108746;;;;;;;;;;;;;2015-12-09;Russian Abstract: В статье рассматриваются объекты государственного управления в социальной, экономической деятельности, в окружающей естественно-социальной среде, а также приоритеты государственного управления в современной России. Формулируются некоторые положения и условия возможного совершенствования государственного управления в России. English Abstract: The article deals with the objects of public administration in the social and economic activities in the natural and social environment, as well as the priorities of government in modern Russia. The author proposes some terms and conditions of possible improvement of governance in Russia.;ru;0.8439781665802002;ru;0.84368497133255;True;Russian Academy of Arts;https://ror.org/05960ca78;Russia;matched;05960ca78
Making Indian Agriculture Inclusive – Opportunities and Approaches;2991435;Accepted Paper Series;UNDER REVIEW;False;Inclusive Agricultural Development New Dimensions, edited by V.G. Siddaraju & Ramesh, APH Publishing Company, New Delhi, ISBN 978-93-313-1976-0;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2991435;Srinivas University;True;26 Jun 2017;0;849898;Hans;V. Basil;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=849898;;;;;;;;;;;;;;The agricultural sector is facing multiple problems and challenges.  There is an urgent need to have a long-term vision for agriculture and farmers for inclusive growth. And that includes a strategy for improving the profitability of agriculture. The purpose of this paper is to discuss - within structural transformation - appropriate approaches to sustainable agricultural growth and inclusive growth.;en;0.7433571815490723;en;0.9311875104904176;True;Srinivas University;https://ror.org/019qzkn95;India;matched;019qzkn95
Water Management in Agriculture: Issues and Strategies in India;2989422;Working Paper Series;UNDER REVIEW;False;;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2989422;Srinivas University;True;20 Jun 2017;0;849898;Hans;V. Basil;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=849898;;;;;;;;;;;;;2017-06-20;Water the critical resource of agriculture, has not been well managed in India, despite the country being an agricultural powerhouse. It has some 195 MH of land under cultivation of which some 62 per cent is rain-fed and 37 per cent, irrigated. Agriculture uses 85 per cent of the water resources with low efficiency. The rain-fed area is the critical area of cultivation with the largest concentration of rural poverty spanning several agro ecological regions. Water management is related to three important challenges in the agricultural front today namely raising productivity per unit of land, reducing poverty, and responding to food security needs. In the light of the new call to achieve “more crop per drop”, this paper discusses pertinent issues related to irrigation in India and the strategies and arrangements to address water scarcity for irrigation. The study finds that problems are largely institutional, structural, and administrative. Overcoming them is crucial for agricultural development in general and water management in particular.;en;0.7874099612236023;en;0.9212709069252014;True;Srinivas University;https://ror.org/019qzkn95;India;matched;019qzkn95
Interplay between Structural Change in Central Asian Agriculture and Institutional Scarcity of Land and Water: Evidence from Tajikistan;2986107;Accepted Paper Series;UNDER REVIEW;False;THEESFELD, I. & KLÜMPER, F. 2016. Interplay between structural change in Central Asian agriculture and institutional scarcity of land and water: evidence from Tajikistan. Zeitschrift für Wirtschaftsgeographie, 60.;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2986107;Martin Luther University of Halle-Wittenberg;True;15 Jun 2017;0;2712553;Theesfeld;Insa;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2712553;;;;;;;;;;;;;;This contribution focuses on the interaction between structural change in agriculture and the availability of key natural resources – land and water. The relationship is not unidimensional  therefore, we propose three dimensions of resource-induced structural change. The first dimension describes the links between the two critical input factors into agricultural production, namely land and water. To systematize this perspective, we use the concept of linking patterns that depict direct and indirect intersectoral linkages from a property rights perspective. Second, we examinee the dimension of how structural change in agriculture can be triggered by scarcity of natural resources. The third dimension describes structural change that may lead to overuse and scarcity. In this regard, we introduce resource scarcity not only as physical but most important as institutional scarcity. To illustrate these dimensions, we have chosen a case in Central Asia, where the availability and the control of access and withdrawal rights to land and water is of utmost importance for the agricultural sector. Tajikistan faces physical and institutional scarcity in arable land. The institutional scarcity is due to the non-transparent and costly processes that need to be followed to gain land rights. Likewise there is sufficient supply in water, in Tajikistan, but the de-facto access rights to water are limited for some groups. For instance, the post-socialist irrigation infrastructure is now inappropriate to serve all small-scale users on a canal. In the future, land use change due to a predicted increase of major investors, will have additional impact on the de-facto water rights. We conclude that a solid study not only on the physical but also on the institutional relations of agriculture to natural resources is important to come to reliable predictions of structural change in agriculture. We also show that structural change in agriculture may have wider implications for rural society that go beyond the agricultural sector.;en;0.8595502376556396;en;0.9242449402809144;True;Luther University;https://ror.org/015dhy417;South Korea;matched;015dhy417
Big Data and Climate Smart Agriculture -  Review of Current Status and Implications for Agricultural Research and Innovation in India;2979349;Accepted Paper Series;UNDER REVIEW;False;Proceedings Indian National Science Academy, Forthcoming;32;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2979349;NAARM;True;03 Jun 2017;960;2711388;Rao;NH;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2711388;;;;;;;;;;;;;2017-03-25;Climate change will increase the vulnerability of agricultural production systems, unless scientists and farmers reorient their present approaches towards making them climate smart or climate resilient. The integration of recent developments in big data analytics and climate change science with agriculture can greatly accelerate agricultural research and innovation for climate smart agriculture (CSA). CSA refers to an integrated set of technologies and practices that simultaneously improve farm productivity and incomes, increase adaptive capacity to climate change effects, and reduce green house gas emissions from farming. It is a multistage, multiobjective, data-driven, and knowledge based approach to agriculture, with the farm as the most fundamental unit for both strategic and tactical decisions. This paper explores how big data analytics can accelerate research and innovation for CSA. Three levels at which big data can enhance farmer field level insights and actionable knowledge for the practice of CSA are identified: (i) developing a predictive capability to factor climate change effects to scales relevant to farming practice, (ii) speeding up plant breeding for higher productivity and climate resilience, and (iii) delivery of customized and prescriptive real-time farm knowledge for higher productivity, climate change adaptation and mitigation. The state-of-art on big data based approaches at each of the three levels is assessed. The paper also identifies the research and institutional challenges, and the way forward for leveraging big data in research and innovation aimed at climate smart agriculture in India.;en;0.8215463757514954;en;0.9084290266036988;True;;;;no_match;
Corporatization of Agriculture as a Model of Effective Land Use: Analyzing the Legal Framework;2971919;Accepted Paper Series;UNDER REVIEW;False;Paper Presented at IIM Lucknow: National Seminar on Land Use Planning for AgriculturalDevelopment and Establishment of Agro-Economic Zones: Strategies for India with special reference to Uttar Pradesh, 2009;36;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2971919;Faculty of Law SRM University Delhi-NCR Sonepat;True;22 May 2017;189;1113018;Singh;Vijay Kumar;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1113018;;;;;;;;;;;;;2009-12-11;„Agriculture‟ or „Farmer‟ is a term which necessarily runs an image at the back of our mind of a poor man in rags tilling his land in scorch sun. However, with the WTO pushing its globalization and liberalization spree, the concept of corporatization of agriculture has gained importance. India, as a developing country is not left untouched. With it unfinished agenda on land reforms, the country faces the challenge to adopt corporatization in true sense. The present paper seeks to investigate the issue from a legal standpoint. The paper proceeds with discussing the land reforms, especially the problem of small and marginal holdings and wastelands  runs through the concepts of contract farming and corporate farming, analyzes the existing corporate models of agriculture like cooperatives and producer companies, as well as points out the issues associated with them. A special emphasis is laid on Uttar Pradesh. The paper provides with a model to actualize „gentleman-farmer‟ revolution.;en;0.8678761720657349;en;0.9371901750564576;True;SRM University;https://ror.org/037skf023;India;matched;037skf023
A Macroeconomic Model with Agriculture and Industry (Un Modelo Macroeconómico con Agricultura e Industria);2960564;Accepted Paper Series;UNDER REVIEW;False;Pensamiento Crítico, Vol. 1(1), p. 27-60, 2002;34;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2960564;Universidad Nacional Mayor de San Marcos;True;08 May 2017;1;2689170;Contreras;Carlos;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2689170;;;;;;;;;;;;;2002-06-30;English Abstract: The present study analyzes from a macroeconomic perspective the relationship between agriculture and industry in an underdeveloped economy with duality in the agricultural sector. It examines the determinants of industrial production and the terms of trade in this underdeveloped economy, of two sectors and that has duality in agriculture. Spanish Abstract: El presente estudio analiza desde una visión macroeconómica la relación entre la agricultura y la industria en una economía subdesarrollada con dualidad en el sector agrerio. Examina los determinantes de la producción industrial y los términos de intercambio en dicha economía subdesarrollada, de dos sectores y que tiene dualidad en el agro.;en;0.3619844913482666;es;0.5923078060150146;False;National University of San Marcos;https://ror.org/006vs7897;Peru;matched;006vs7897
Meeting the Sustainable Millennium Development Goals Through Adaptation in Cameroon with the Focus on Climate Change in Agriculture;2962322;Working Paper Series;UNDER REVIEW;False;;11;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2962322;International Council for Family Business;True;04 May 2017;68;576563;Ndedi ;Professor Alain;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=576563;;;;;;;;;;;;;2017-05-03;In a recent report, Norrington-Davie (2015) declared that climate change is not a priority for the Government of Cameroon and is unlikely to become so in the near future as Cameroon focuses on improving job creation and reducing widespread poverty. According to the author, awareness of climate change, both inside and outside of government, is largely limited to an understanding of environmental and climate related impacts at the local levels. Higher level political commitment for climate change is limited and there is currently no capacity within line ministries to mainstream climate change across sector programmes. A National Observatory for Climate Change (ONACC) is expected to address some of these issues but its creation has been pending since the issuance of a Presidential Decree in December 2009 (Norrington-Davies, 2015). This paper aims at assisting the Cameroonian government in meeting the sustainable millennium development goals through adaptation with the focus on Climate change in agriculture. The first part of the paper highlights the issue of climate change developments in Cameroon. The second part sheds light on the literature review by revisiting some concepts around climate change mitigation in the Cameroonian agriculture sector. The third part develops the roadmap in dealing with climate change challenges in Cameroon. The last gives recommendations regarding adaptation on climate change in Cameroon.;en;0.7650337219238281;en;0.9458574056625366;True;International Olive Council;https://ror.org/0006wrh30;Spain;matched;0006wrh30
Activity of District Councils of Tauride Province in Agriculture (Second Half XIX – Early XX Centuries);2958834;Working Paper Series;UNDER REVIEW;False;;3;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2958834;;True;27 Apr 2017;60;2690675;Adzhyieva;Lienara;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2690675;;;;;;;;;;;;;2017-04-26;Development of local government in the Tauride province in activity of district councils was an important factor in the development of agriculture of Crimea. Activities of district councils covered a wide range from the promotion of education and cultural life, to solve problems in the field of economy and social sphere of the population of Crimea. District councils as non-governmental organizations set the tone of its activities, which has been an innovative and cutting-edge at the time. People with different levels of education, experience, different national, religious and age groups were included to the work of district councils. Extensive development and the response of the population received the agronomic assistance, provided by district councils. Agronomic courses, courses of horticulture, viticulture, apiculture and sericulture  exhibitions of provincial, county level were organized. District councils facilitated activities of natural and scientific societies, dissemination of agricultural knowledge, publication of literature on agriculture. They petitioned to the government on topical issues of local owners, with needs of the province or counties. The priority areas for district councils of Tauride province were breeding, agricultural entomology and agricultural machinery.;en;0.902767300605774;en;0.9704034328460692;True;;;;empty_affiliation;
The Portuguese Agriculture, 1703-1820: Extensive Growth and Market Expansion.;2944973;Accepted Paper Series;UNDER REVIEW;False;Chapter in: Dulce Freire and Pedro Lains (eds), An Agrarian History of Portugal, 1000-2000: Economic Development on the European Frontier. Leiden/Boston: Brill, 2017 (e-book 2016), pp. 132-171;30;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2944973;University Institute of Lisbon (ISCTE-IUL);True;21 Apr 2017;142;2413684;Serrao;Jose Vicente;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2413684;;;;;;;;;;;;;;The thesis sustained in this essay is that – while it is true that there were some crises, problems and blockages, and that development was by no means the same across all regions, sub-sectors and periods – Portuguese agriculture actually performed quite well in the 18th century, even when observed in a comparative European perspective. Extensive growth and an increasing market dependence were the two dominant aspects of that performance. These results can be explained, firstly, by a significant change in market conditions  secondly, by the ability of economic agents to adapt to new conditions  and thirdly by some effective economic policies. The market, the farmers and the government form the three sides of a triangle that proved to be reasonably virtuous for most of the period considered.;en;0.7616406679153442;en;0.9797017574310304;True;Iscte – Instituto Universitário de Lisboa;https://ror.org/014837179;Portugal;matched;014837179
Assessing the Cost of Supplying Water for Agriculture: The Food Supply Cost Curve;2946027;Working Paper Series;UNDER REVIEW;False;Bocconi IEFE - Working Paper Series No. 90, April 2017;20;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2946027;Ca Foscari University of Venice - Dipartimento di Economia;True;06 Apr 2017;58;142037;Roson;Roberto;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=142037;;;;;;;;;;;;;2017-04-04;As part of a “Regional Initiative on Water Scarcity in the NENA Region”, the U.N. Food and Agriculture Organization (FAO) has been proposing a practical tool for the assessment of investment projects, called the Food Supply Cost Curve (FSCC). This chapter illustrates the concept of the Food Supply Cost Curve, and which steps need to be taken to practically implement an FSCC evaluation exercise. It concludes by commenting on some preliminary findings obtained at the FAO when the FSCC has been employed in some  countries in the Near East and North Africa.;en;0.8595116138458252;en;0.9511898159980774;True;Ca' Foscari University of Venice;https://ror.org/04yzxz566;Italy;matched;04yzxz566
Back to the Agriculture: The Development of the Comparative Advantage of Sudan's Commodities;2946129;Accepted Paper Series;UNDER REVIEW;False;Yagoub Elryah (2015) “Back to the agriculture: the Development of the Comparative Advantage of Sudan’s Commodities” Journal of Finance and Economics, Vol. 3 Issue (1), pp. 1-5.;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2946129;;True;04 Apr 2017;0;2222552;Elryah ;Yagoub;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2222552;;;;;;;;;;;;;;In recent years, the Dutch disease created by losing the oil revenues has encouraged countries to diversify the comparative advantage in other products and services, and for many countries including Sudan agricultural products are at the top of the exports. Hence, this paper analyzed the comparative advantages of Sudan’s agricultural products and to show the extent to which products that Sudan should specialize in to regain some of missed comparative advantages. In order to figure out this, data were extracted from the International Trade Centre (ITC)’s Trade map, the UNCTAD COMTRADE database and Central Bank of Sudan. In this study, we used the Revealed Comparative Advantage (RCA) method to analyze the direction of changes of Sudanese comparative advantages for the recent period from 2000 to 2013. The study found that Sudan has opportunity to regain it is missed comparative advantages for products that have recently specialized and experienced in. The Cotton, animal resources and Gum Arabic products are found most products that Sudan has a comparative advantage in.;en;0.8286160230636597;en;0.9588879942893982;True;;;;empty_affiliation;
Loans in Agriculture: Living under New Rules;2944588;Working Paper Series;UNDER REVIEW;False;Monitoring of Russia's Economic Outlook. Moscow, IEP, No.3, 2017, pp. 14-16;3;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2944588;Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;True;03 Apr 2017;36;2340854;Uzun;Vasily;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2340854;;;;;;;;;;;;;2017-03-03;New rules are in effect in Russia since 1 January 2017, regulating the subsidization of bank loans to agricultural producers and agribusinesses. This is a major update to the loan subsidization procedure, introducing in particular a fixed rate for subsidies, a simplified procedure for agricultural soft loans, and a share of small businesses in subsidies. However, some problems have been left unresolved, and new ones have arisen.;en;0.8654155731201172;en;0.9639173746109008;True;Institute of Applied Economic Research;https://ror.org/02d3hy418;Brazil;matched;02d3hy418
VAT and Agriculture: Lessons from Europe;2938975;Working Paper Series;UNDER REVIEW;False;CESifo Working Paper Series No. 6350;33;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2938975;CPB Netherlands Bureau of Economic Policy Analysis;True;23 Mar 2017;94;1598244;Cnossen;Sijbren;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1598244;;;;;;;;;;;;;2017-02-27;Farmers are often exempted from VAT for administrative and political reasons. But this means that the VAT on their inputs cannot be ‘washed out’ through the tax deduction/credit mechanism. To compensate farmers for the uncompensated VAT on inputs, the EU has devised a flat-rate scheme that permits them to charge a presumptive rate (approximately equal to the effective VAT rate on sector-wide inputs) on their sales to taxable agro-processing firms. The flat-rate scheme is an arbitrary way of trying to achieve equal treatment. Full taxation, subject to the general threshold, appears to be the preferred choice.;en;0.8373866081237793;en;0.9601123929023744;True;CPB Netherlands Bureau for Economic Policy Analysis;https://ror.org/04rjxzd30;The Netherlands;matched;04rjxzd30
Agriculture in Africa -- Telling Myths from Facts: A Synthesis;2923532;Working Paper Series;UNDER REVIEW;False;World Bank Policy Research Working Paper No. 7979;28;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2923532;World Bank;True;27 Feb 2017;176;359601;Christiaensen;Luc;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=359601;;;;;;;;;;;;;2017-02-21;Stylized facts drive research agendas and policy debates. Yet robust stylized facts are hard to come by, and when available, often outdated. In a special issue of Food Policy, 12 papers revisit conventional wisdom on African agriculture and its farmers' livelihoods using nationally representative surveys from the Living Standards Measurement Study-Integrated Surveys on Agriculture Initiative in six African countries. At times, the findings simply confirm the common understanding of the topic. But the studies also throw up several surprises, redirecting some policy debates while fine-tuning others. Overall, the project calls for more attention to checking and updating the common wisdom. This requires nationally representative data, and sufficient incentives among researchers and policy makers alike. Without well-grounded stylized facts, they can easily be profoundly misguided.;en;0.6962587833404541;en;0.9028743505477904;True;World Bank;https://ror.org/00ae7jd04;United States;matched;00ae7jd04
Urban Agriculture in Cuba: Alternative Legal Structures, Crisis and Change;2922195;Accepted Paper Series;UNDER REVIEW;False;Chapter 20 in: B. Maheshwari et al. (eds.), Balanced Urban Development: Options and Strategies for Liveable Cities, Water Science and Technology Library 72, DOI 10.1007/978-3-319-28112-4_20 (2016);12;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2922195;Western Sydney University, School of Law;True;25 Feb 2017;58;1468901;Spencer;Liesel;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1468901;;;;;;;;;;;;;2016-01-12;The dominant mode of feeding Australian cities is the industrial food system, including industrial agriculture. This food system has produced crises in public health in the form of rising incidence of non-communicable disease linked to diet  and crises in environmental health flowing from industrial agriculture and the food processing and distribution network. This chapter discusses the urban agriculture program implemented in Cuba in the mid-1990s ‘Special Period’ in response to a food security crisis, as an example of legal change in response to food system failure. The Cuban experience is analysed by drawing on Blomley’s work on legal geography methodological tools of performativity, and pragmatism (specifically Dewey’s writings on ‘habit’). It is concluded that changes to the law and policy underpinning Australia’s dysfunctional urban food system might be catalysed by framing and communicating the health and ecological problems in the language of crisis, and by responding to this food system crisis by experimenting with alternatives such as urban agriculture.;en;0.6717572808265686;en;0.935591161251068;True;Western Sydney University;https://ror.org/03t52dk35;Australia;matched;03t52dk35
